Date,Open,High,Low,Close
2019-04-30,569.9,571.05,558.65,565.0
2019-05-02,563.0,569.7,556.7,565.6
2019-05-03,568.0,573.0,561.65,564.5
2019-05-06,556.0,564.5,556.0,563.35
2019-05-07,564.0,566.3,555.15,557.95
2019-05-08,556.0,561.4,549.0,558.0
2019-05-09,559.9,561.05,548.7,557.75
2019-05-10,557.75,562.7,551.0,555.55
2019-05-13,552.0,556.75,529.6,546.7
2019-05-14,546.0,560.75,541.2,556.0
2019-05-15,554.0,562.5,551.5,555.7
2019-05-16,554.0,556.7,541.05,550.2
2019-05-17,549.0,551.95,541.0,544.15
2019-05-20,560.0,567.0,550.4,565.45
2019-05-21,565.45,580.0,552.75,559.35
2019-05-22,562.0,574.0,550.05,553.0
2019-05-23,561.9,568.9,543.75,564.75
2019-05-24,569.2,572.5,559.45,570.6
2019-05-27,570.0,586.0,568.0,578.7
2019-05-28,579.0,584.2,571.5,577.95
2019-05-29,577.4,582.45,559.9,564.35
2019-05-30,560.1,563.5,554.25,561.95
2019-05-31,562.7,569.0,550.85,558.85
2019-06-03,559.0,569.45,552.5,568.25
2019-06-04,564.0,575.0,561.1,562.65
2019-06-06,565.0,568.3,556.55,559.8
2019-06-07,565.0,565.0,542.0,549.5
2019-06-10,550.6,562.6,550.0,554.55
2019-06-11,555.4,566.4,551.0,559.85
2019-06-12,558.9,567.0,556.25,561.6
2019-06-13,560.05,566.6,559.25,564.6
2019-06-14,560.15,564.45,554.15,555.6
2019-06-17,555.5,556.6,543.85,545.15
2019-06-18,545.2,555.5,545.05,547.6
2019-06-19,550.6,551.9,532.55,533.7
2019-06-20,531.8,552.45,528.65,551.3
2019-06-21,549.85,553.8,545.2,551.55
2019-06-24,548.55,552.45,545.1,549.9
2019-06-25,548.95,554.95,546.55,550.05
2019-06-26,550.0,558.8,548.0,556.55
2019-06-27,556.85,563.9,550.3,551.95
2019-06-28,551.9,556.7,546.35,553.45
2019-07-01,555.7,559.35,553.15,555.8
2019-07-02,557.15,558.5,551.5,555.35
2019-07-03,555.35,556.7,549.45,553.25
2019-07-04,554.65,555.65,550.6,551.55
2019-07-05,551.55,554.25,549.2,550.0
2019-07-08,547.0,549.0,534.65,538.45
2019-07-09,536.8,552.45,536.8,548.8
2019-07-10,545.35,551.15,541.85,544.95
2019-07-11,549.0,553.8,546.0,552.4
2019-07-12,554.0,566.5,547.2,556.8
2019-07-15,559.9,560.5,548.6,550.55
2019-07-16,554.75,558.45,549.4,553.55
2019-07-17,554.0,558.5,547.45,557.55
2019-07-18,558.85,559.0,545.5,547.0
2019-07-19,550.8,552.0,535.5,536.7
2019-07-22,536.7,540.0,526.2,530.95
2019-07-23,531.0,535.2,521.0,528.9
2019-07-24,529.0,529.0,517.05,518.75
2019-07-25,521.35,539.2,519.0,536.65
2019-07-26,533.2,539.9,528.25,532.1
2019-07-29,531.6,534.95,520.25,522.25
2019-07-30,522.2,533.6,517.8,520.0
2019-07-31,516.9,522.7,506.0,521.1
2019-08-01,516.15,519.45,509.2,512.45
2019-08-02,509.0,519.7,508.7,516.1
2019-08-05,513.8,520.8,512.25,518.9
2019-08-06,518.0,527.0,496.85,500.15
2019-08-07,502.7,525.85,501.65,518.3
2019-08-08,504.75,510.0,493.8,503.05
2019-08-09,505.9,511.7,481.55,484.5
2019-08-13,484.5,486.9,473.05,475.75
2019-08-14,477.45,483.25,465.0,478.3
2019-08-16,477.0,483.4,474.5,476.1
2019-08-19,478.5,485.55,474.6,475.85
2019-08-20,478.85,481.7,470.55,478.7
2019-08-21,478.6,479.0,466.95,468.05
2019-08-22,464.9,469.95,460.6,464.0
2019-08-23,464.0,467.35,449.2,465.9
2019-08-26,468.1,470.95,454.9,466.55
2019-08-27,468.5,469.85,458.45,465.35
2019-08-28,465.8,476.2,460.15,464.25
2019-08-29,465.5,468.0,456.55,465.2
2019-08-30,468.0,475.2,461.45,472.45
2019-09-03,467.0,471.25,461.0,469.55
2019-09-04,471.1,475.0,467.05,471.4
2019-09-05,472.0,479.75,470.6,478.4
2019-09-06,479.0,482.5,473.75,474.9
2019-09-09,475.0,478.7,472.1,475.0
2019-09-11,474.0,478.3,468.05,471.8
2019-09-12,474.0,474.0,464.4,467.8
2019-09-13,468.05,469.65,464.5,469.0
2019-09-16,467.0,472.0,464.1,470.5
2019-09-17,471.95,472.4,457.0,460.65
2019-09-18,461.4,462.8,454.35,458.65
2019-09-19,458.65,461.95,449.9,452.05
2019-09-20,454.2,465.0,445.5,463.3
2019-09-23,468.0,472.3,445.0,448.9
2019-09-24,450.0,455.05,446.6,450.25
2019-09-25,449.9,450.0,432.2,434.6
2019-09-26,439.0,440.45,430.4,438.45
2019-09-27,438.45,446.0,435.7,439.4
2019-09-30,430.0,432.8,418.0,425.5
2019-10-01,426.9,426.9,402.7,412.65
2019-10-03,411.0,421.0,406.5,418.1
2019-10-04,419.5,431.3,416.15,418.35
2019-10-07,419.95,419.95,405.5,408.25
2019-10-09,408.3,427.0,407.5,423.35
2019-10-10,423.1,427.3,418.55,422.15
2019-10-11,422.55,443.0,389.55,441.35
2019-10-14,441.35,446.45,433.5,440.9
2019-10-15,440.0,448.5,435.35,446.55
2019-10-16,446.3,447.85,438.95,446.8
2019-10-17,445.3,447.7,439.4,446.3
2019-10-18,448.5,451.15,440.1,444.15
2019-10-22,441.25,457.75,440.2,453.9
2019-10-23,453.65,456.8,448.1,454.25
2019-10-24,455.0,456.0,443.55,446.85
2019-10-25,447.1,461.45,441.75,459.85
