Date,Open,High,Low,Close
2019-04-30,1140.05,1187.6,1140.0,1183.35
2019-05-02,1170.0,1180.5,1156.5,1160.05
2019-05-03,1144.0,1149.15,1126.25,1143.05
2019-05-06,1139.9,1144.4,1128.05,1136.05
2019-05-07,1137.35,1150.0,1116.0,1131.75
2019-05-08,1132.0,1140.0,1122.4,1132.6
2019-05-09,1124.5,1145.0,1110.1,1136.6
2019-05-10,1111.0,1111.0,1072.8,1086.65
2019-05-13,1088.3,1100.75,1078.0,1083.65
2019-05-14,1083.65,1083.65,1057.0,1067.85
2019-05-15,1072.95,1086.5,1062.85,1067.45
2019-05-16,1079.9,1080.45,1056.05,1072.25
2019-05-17,1075.05,1077.0,1059.75,1062.7
2019-05-20,1065.0,1083.8,1051.25,1073.55
2019-05-21,1071.4,1074.0,1052.65,1056.1
2019-05-22,1057.0,1075.0,1053.7,1061.0
2019-05-23,1064.0,1071.0,1050.25,1066.4
2019-05-24,1071.0,1074.0,1054.1,1065.95
2019-05-27,1072.0,1081.0,1058.2,1064.2
2019-05-28,1071.0,1089.95,1055.25,1071.3
2019-05-29,1071.4,1095.0,1068.2,1085.0
2019-05-30,1088.0,1098.35,1068.0,1078.2
2019-05-31,1085.0,1099.4,1080.05,1092.55
2019-06-03,1098.85,1119.0,1087.15,1115.2
2019-06-04,1112.4,1113.4,1081.0,1085.85
2019-06-06,1090.0,1101.15,1075.55,1079.2
2019-06-07,1083.0,1087.2,1071.25,1079.6
2019-06-10,1086.9,1101.8,1081.4,1091.2
2019-06-11,1100.0,1116.95,1093.9,1107.9
2019-06-12,1107.0,1110.0,1091.3,1108.1
2019-06-13,1103.0,1106.1,1093.0,1100.9
2019-06-14,1093.1,1102.35,1084.0,1087.0
2019-06-17,1084.0,1087.7,1071.5,1074.9
2019-06-18,1074.9,1094.15,1074.65,1089.6
2019-06-19,1090.1,1096.6,1077.8,1084.1
2019-06-20,1070.0,1091.0,1065.65,1087.35
2019-06-21,1092.5,1092.65,1071.15,1076.25
2019-06-24,1079.0,1084.05,1068.1,1077.9
2019-06-25,1077.9,1081.1,1060.15,1079.0
2019-06-26,1072.2,1092.65,1072.2,1078.75
2019-06-27,1074.3,1084.05,1059.95,1062.75
2019-06-28,1070.7,1075.95,1058.7,1064.65
2019-07-01,1067.25,1069.9,1047.35,1049.1
2019-07-02,1053.0,1064.65,1043.0,1060.0
2019-07-03,1061.0,1064.75,1047.6,1051.2
2019-07-04,1048.7,1051.2,1033.8,1040.75
2019-07-05,1043.9,1049.0,1012.65,1016.4
2019-07-08,1011.0,1045.8,1010.05,1039.05
2019-07-09,1033.45,1047.8,1008.0,1020.75
2019-07-10,1014.0,1035.0,1013.1,1018.9
2019-07-11,1027.8,1027.8,1015.05,1020.8
2019-07-12,1016.05,1029.7,1009.0,1023.9
2019-07-15,1034.45,1038.0,1020.0,1027.5
2019-07-16,1031.9,1032.15,1013.45,1019.65
2019-07-17,1024.4,1043.0,1020.9,1040.75
2019-07-18,1033.4,1037.0,1016.0,1018.55
2019-07-19,1024.0,1030.8,1009.2,1015.6
2019-07-22,1015.6,1027.25,1003.25,1018.95
2019-07-23,1020.65,1025.95,1007.15,1010.95
2019-07-24,1009.95,1024.85,1001.5,1021.3
2019-07-25,1021.1,1027.65,1003.0,1011.3
2019-07-26,1007.7,1012.1,997.4,1001.45
2019-07-29,1005.0,1024.0,1004.0,1015.45
2019-07-30,1015.0,1027.35,1010.8,1023.6
2019-07-31,1022.5,1037.9,1002.95,1034.55
2019-08-01,1029.15,1042.45,1015.1,1021.55
2019-08-02,1017.0,1017.9,993.0,1010.5
2019-08-05,1003.4,1017.0,997.1,1011.1
2019-08-06,1011.1,1037.0,1003.2,1024.2
2019-08-07,1025.15,1045.9,1016.45,1022.65
2019-08-08,1035.95,1095.0,1028.05,1088.25
2019-08-09,1084.8,1102.45,1077.8,1086.3
2019-08-13,1091.9,1091.9,1067.35,1072.5
2019-08-14,1069.15,1083.4,1057.45,1076.15
2019-08-16,1076.9,1076.9,1050.5,1062.75
2019-08-19,1065.6,1077.95,1057.65,1064.05
2019-08-20,1067.9,1090.8,1065.1,1084.0
2019-08-21,1082.95,1083.55,1066.05,1070.15
2019-08-22,1070.5,1086.35,1056.05,1078.9
2019-08-23,1079.0,1097.45,1077.6,1087.0
2019-08-26,1091.6,1096.0,1063.65,1092.85
2019-08-27,1099.0,1100.0,1063.8,1093.1
2019-08-28,1097.0,1130.0,1092.3,1123.95
2019-08-29,1113.0,1125.7,1110.0,1117.75
2019-08-30,1115.7,1115.8,1083.2,1100.35
2019-09-03,1107.0,1130.6,1102.85,1108.35
2019-09-04,1112.35,1128.5,1103.9,1125.65
2019-09-05,1125.45,1125.45,1103.75,1111.95
2019-09-06,1115.5,1121.15,1096.95,1100.4
2019-09-09,1102.0,1102.0,1081.0,1084.4
2019-09-11,1088.0,1094.0,1052.6,1057.7
2019-09-12,1057.0,1064.45,1048.0,1054.9
2019-09-13,1054.9,1070.0,1053.9,1068.5
2019-09-16,1070.0,1078.95,1057.0,1069.9
2019-09-17,1069.0,1069.0,1046.55,1055.85
2019-09-18,1059.65,1066.95,1050.65,1058.45
2019-09-19,1058.0,1058.0,1032.25,1049.55
2019-09-20,1052.0,1063.55,1037.3,1049.1
2019-09-23,1063.0,1063.0,1017.0,1032.9
2019-09-24,1023.2,1051.7,1023.0,1047.4
2019-09-25,1049.5,1062.0,1044.2,1053.85
2019-09-26,1054.0,1055.55,1033.25,1045.15
2019-09-27,1045.5,1053.6,1034.1,1041.05
2019-09-30,1044.0,1096.5,1043.05,1080.6
2019-10-01,1081.0,1081.0,1053.2,1059.55
2019-10-03,1058.0,1090.0,1054.15,1076.8
2019-10-04,1076.0,1081.8,1064.65,1079.1
2019-10-07,1085.75,1091.0,1068.9,1074.4
2019-10-09,1070.05,1073.95,1040.15,1051.1
2019-10-10,1051.05,1066.1,1041.4,1063.5
2019-10-11,1050.0,1090.0,1048.0,1079.5
2019-10-14,1082.4,1099.8,1074.0,1086.8
2019-10-15,1089.1,1099.15,1079.45,1084.5
2019-10-16,1089.0,1107.0,1083.1,1100.9
2019-10-17,1100.0,1102.2,1084.55,1093.05
2019-10-18,1094.95,1105.45,1088.4,1095.5
2019-10-22,1090.2,1095.9,1051.5,1064.45
2019-10-23,1070.0,1103.95,1068.0,1095.15
2019-10-24,1155.1,1159.0,1110.5,1119.05
2019-10-25,1121.0,1137.25,1098.1,1134.05
2019-10-27,1138.0,1139.65,1125.1,1130.5
2019-10-29,1130.9,1145.85,1127.95,1139.75
2019-10-30,1150.0,1150.0,1138.2,1146.75
2019-10-31,1145.75,1170.0,1138.55,1162.75
2019-11-01,1158.9,1167.0,1143.4,1152.0
2019-11-04,1160.05,1166.3,1152.05,1155.9
2019-11-05,1156.1,1160.6,1143.35,1158.7
2019-11-06,1160.0,1160.05,1141.2,1148.35
2019-11-07,1149.0,1154.2,1136.1,1148.45
2019-11-08,1148.35,1164.4,1146.1,1150.1
2019-11-11,1150.0,1153.7,1130.2,1145.95
2019-11-13,1150.0,1156.1,1134.7,1138.6
2019-11-14,1141.5,1157.4,1135.1,1147.8
2019-11-15,1150.95,1159.8,1140.0,1142.3
2019-11-18,1148.0,1149.7,1138.8,1141.1
2019-11-19,1139.0,1143.5,1128.65,1134.65
2019-11-20,1135.0,1137.7,1125.5,1132.8
2019-11-21,1138.6,1148.5,1131.55,1136.6
2019-11-22,1130.45,1134.95,1108.95,1114.75
2019-11-25,1117.0,1126.1,1106.05,1124.75
2019-11-26,1126.5,1134.5,1098.45,1108.05
2019-11-27,1109.0,1134.4,1109.0,1128.25
2019-11-28,1139.0,1143.4,1125.5,1132.65
2019-11-29,1136.0,1136.85,1125.1,1127.65
2019-12-02,1139.0,1139.0,1123.5,1125.3
2019-12-03,1129.95,1131.0,1121.0,1124.55
2019-12-04,1127.0,1130.0,1116.45,1125.5
2019-12-05,563.8,567.65,557.15,560.9
2019-12-06,563.9,567.05,558.65,560.3
2019-12-09,562.55,563.2,547.0,552.05
2019-12-10,552.05,554.9,541.8,544.45
2019-12-11,545.0,549.9,539.45,543.8
2019-12-12,547.3,547.8,535.05,536.35
2019-12-13,538.0,545.0,536.8,543.15
2019-12-16,546.0,554.95,545.05,552.2
2019-12-17,555.5,559.0,552.5,557.75
2019-12-18,560.0,566.95,559.0,564.7
2019-12-19,565.5,574.0,564.75,569.5
2019-12-20,573.5,573.75,565.5,569.9
2019-12-23,567.5,575.55,566.55,570.95
2019-12-24,572.0,572.65,559.3,560.55
2019-12-26,561.65,565.0,559.55,560.5
2019-12-27,562.95,569.0,557.0,567.55
2019-12-30,567.0,577.5,564.25,569.3
2019-12-31,569.1,571.5,565.05,568.1
2020-01-01,569.4,572.9,566.85,571.95
2020-01-02,572.55,575.0,570.5,573.55
2020-01-03,574.0,588.5,572.85,585.05
2020-01-06,585.0,592.2,579.45,582.0
2020-01-07,582.0,587.75,579.05,584.25
2020-01-08,583.0,593.0,578.0,585.75
2020-01-09,586.0,588.15,579.25,580.3
2020-01-10,582.0,589.8,577.4,580.35
2020-01-13,583.95,590.0,581.0,586.5
2020-01-14,587.2,597.4,587.15,594.3
2020-01-15,597.0,598.3,591.7,595.75
2020-01-16,597.0,598.3,586.75,593.25
2020-01-17,585.0,602.0,585.0,598.8
2020-01-20,618.0,618.0,584.1,589.25
2020-01-21,589.3,593.25,582.35,584.05
2020-01-22,585.2,595.0,581.5,590.65
2020-01-23,590.1,599.95,587.0,598.95
2020-01-24,599.0,609.0,595.5,607.7
2020-01-27,607.7,608.0,601.75,604.35
2020-01-28,607.3,607.35,592.6,601.45
2020-01-29,605.0,611.5,602.2,608.85
2020-01-30,612.0,613.85,603.65,607.85
2020-01-31,607.85,608.9,589.6,591.4
2020-02-01,591.4,597.7,580.75,590.9
2020-02-03,591.4,593.65,577.5,579.1
2020-02-04,583.0,589.25,582.5,586.5
2020-02-05,589.4,598.5,586.0,595.6
2020-02-06,598.95,613.0,598.0,599.7
2020-02-07,601.65,609.2,599.15,607.7
2020-02-10,608.9,611.55,601.65,604.9
2020-02-11,606.0,613.75,605.7,610.65
2020-02-12,613.0,620.5,610.3,614.1
2020-02-13,612.0,613.95,604.05,612.45
2020-02-14,612.45,623.25,612.25,621.65
2020-02-17,623.0,623.5,612.35,613.45
2020-02-18,613.45,615.8,605.15,607.05
2020-02-19,614.45,618.25,604.0,605.75
2020-02-20,611.0,612.95,605.15,608.05
2020-02-24,608.0,609.0,591.5,595.15
2020-02-25,595.5,595.7,575.0,582.45
2020-02-26,576.9,589.05,575.5,583.6
2020-02-27,582.1,582.4,568.0,573.05
2020-02-28,560.0,564.0,531.2,534.35
2020-03-02,541.05,565.85,537.85,549.7
2020-03-03,556.0,568.75,555.0,565.05
2020-03-04,569.0,575.4,561.0,563.1
2020-03-05,568.0,581.9,563.15,576.4
2020-03-06,570.0,573.95,559.55,566.2
2020-03-09,555.0,558.0,536.45,540.45
2020-03-11,526.75,542.65,514.0,536.8
2020-03-12,521.0,527.8,486.35,493.35
2020-03-13,460.0,517.25,395.95,492.9
2020-03-16,469.0,479.8,446.85,450.7
2020-03-17,450.0,478.6,443.35,450.65
2020-03-18,455.0,464.8,429.05,434.25
2020-03-19,418.9,434.6,375.25,413.45
2020-03-20,413.5,461.95,411.85,444.9
2020-03-23,415.0,444.0,400.45,417.15
2020-03-24,413.0,458.85,411.85,442.05
2020-03-25,432.0,468.0,417.75,457.6
2020-03-26,461.1,466.75,441.1,447.7
2020-03-27,450.25,457.45,420.5,430.65
2020-03-30,410.0,438.65,410.0,419.0
2020-03-31,433.2,449.4,425.3,436.4
2020-04-01,433.0,433.2,408.2,413.55
2020-04-03,418.9,428.6,399.3,405.8
2020-04-07,425.0,457.95,425.0,451.15
2020-04-08,451.0,476.8,449.0,463.1
2020-04-09,480.7,481.0,462.0,469.05
2020-04-13,470.0,471.0,454.0,458.25
2020-04-15,470.0,482.0,462.7,478.75
2020-04-16,473.0,476.0,456.7,459.75
2020-04-17,470.0,475.0,453.65,455.25
2020-04-20,458.0,473.6,453.5,470.0
2020-04-21,458.0,464.95,447.85,455.7
2020-04-22,453.0,469.45,450.0,462.4
2020-04-23,465.0,480.75,462.4,477.7
2020-04-24,480.0,496.9,465.15,468.1
2020-04-27,473.1,485.7,467.25,483.1
2020-04-28,489.0,489.0,469.45,471.1
2020-04-29,474.8,501.0,470.2,491.75
2020-04-30,506.5,565.5,501.0,543.55
2020-05-04,527.5,527.5,508.2,514.25
2020-05-05,526.0,529.9,515.65,520.4
2020-05-06,512.2,526.7,506.2,519.1
2020-05-07,530.0,541.8,507.55,511.75
2020-05-08,520.85,522.5,502.4,518.4
2020-05-11,526.0,534.9,521.2,527.55
2020-05-12,525.45,540.0,520.0,527.4
2020-05-13,539.85,539.85,521.55,528.75
2020-05-14,519.4,527.55,514.35,517.45
2020-05-15,517.95,517.95,505.25,511.25
2020-05-18,514.7,518.65,507.5,510.75
2020-05-19,512.0,520.5,506.2,518.25
2020-05-20,515.05,528.65,515.0,526.75
2020-05-21,529.8,537.5,523.4,534.85
2020-05-22,533.65,535.0,523.0,530.4
2020-05-26,530.0,536.5,520.25,524.0
2020-05-27,529.7,533.9,516.0,530.95
2020-05-28,531.0,546.0,523.0,542.65
2020-05-29,540.0,555.0,536.7,550.25
2020-06-01,557.0,573.4,555.5,559.75
2020-06-02,559.3,567.75,550.0,560.2
2020-06-03,564.0,568.4,557.0,562.8
2020-06-04,565.0,583.7,559.0,578.95
2020-06-05,585.0,587.15,572.5,575.95
2020-06-08,579.15,583.5,571.05,578.25
2020-06-09,574.15,583.6,570.0,572.85
2020-06-10,575.0,587.5,573.6,578.7
2020-06-11,580.0,584.9,574.1,578.05
2020-06-12,555.2,578.7,555.2,570.75
2020-06-15,574.8,581.0,563.7,578.95
2020-06-16,585.0,593.5,578.4,580.9
2020-06-17,580.0,581.85,573.0,575.85
2020-06-18,571.2,583.8,570.1,578.95
2020-06-19,574.0,578.0,567.2,569.6
2020-06-22,575.0,576.65,565.4,569.6
2020-06-23,569.7,583.5,563.75,580.25
2020-06-24,575.0,579.8,554.4,559.6
2020-06-25,557.6,560.7,548.0,550.05
2020-06-26,550.05,573.9,545.0,562.4
2020-06-29,562.0,565.9,550.3,553.7
2020-06-30,558.0,560.8,553.25,556.85
2020-07-01,557.95,559.6,551.0,551.75
2020-07-02,555.0,572.4,552.9,569.2
2020-07-03,572.0,580.55,570.6,579.15
2020-07-06,579.15,589.0,577.25,578.7
2020-07-07,582.0,594.45,575.15,592.05
2020-07-08,594.75,594.75,573.0,574.9
2020-07-09,575.65,591.6,575.0,588.25
2020-07-10,588.25,588.55,579.85,582.25
2020-07-13,585.0,605.0,583.35,602.6
2020-07-14,604.6,613.75,588.1,591.35
2020-07-15,593.65,627.95,592.5,615.2
2020-07-16,630.0,652.2,607.15,627.75
2020-07-17,629.5,644.65,613.4,623.15
2020-07-20,633.0,652.0,626.85,648.6
2020-07-21,652.0,662.35,643.3,652.35
2020-07-22,657.0,658.0,643.1,650.15
2020-07-23,650.0,656.95,643.55,652.85
2020-07-24,641.0,684.8,640.9,679.95
2020-07-27,684.0,704.4,676.5,701.1
2020-07-28,702.0,716.05,695.7,712.45
2020-07-29,710.0,710.75,692.5,694.4
2020-07-30,698.0,712.55,692.65,695.45
2020-07-31,701.85,716.7,696.0,705.2
