Date,Open,High,Low,Close
2019-04-30,202.0,206.6,199.05,206.05
2019-05-02,204.25,207.65,201.6,204.7
2019-05-03,206.0,206.0,202.65,205.1
2019-05-06,197.0,200.95,196.8,198.9
2019-05-07,199.2,204.25,199.2,200.45
2019-05-08,200.0,202.9,196.65,200.0
2019-05-09,201.7,201.9,196.25,198.15
2019-05-10,199.1,201.05,193.6,195.8
2019-05-13,194.9,194.9,191.4,192.2
2019-05-14,191.0,193.95,188.0,192.95
2019-05-15,192.95,196.0,189.65,190.65
2019-05-16,191.25,195.9,190.0,194.6
2019-05-17,192.0,192.8,187.25,191.7
2019-05-20,194.5,199.7,193.75,198.75
2019-05-21,199.75,200.0,193.2,196.0
2019-05-22,196.0,199.35,195.0,198.0
2019-05-23,201.0,201.0,190.85,191.75
2019-05-24,193.0,196.45,190.0,195.8
2019-05-27,196.0,201.85,195.3,200.6
2019-05-28,200.6,207.15,200.6,201.85
2019-05-29,201.0,201.0,197.25,199.3
2019-05-30,199.1,200.8,196.3,198.55
2019-05-31,199.05,199.7,195.2,197.0
2019-06-03,197.0,200.4,194.4,199.4
2019-06-04,198.85,200.5,196.85,197.8
2019-06-06,197.8,198.45,193.7,194.85
2019-06-07,194.85,196.65,193.4,194.8
2019-06-10,196.8,198.6,195.0,198.25
2019-06-11,198.9,200.9,195.65,199.6
2019-06-12,198.6,202.9,197.15,199.3
2019-06-13,198.95,200.35,196.7,199.65
2019-06-14,198.4,200.7,196.8,198.25
2019-06-17,199.0,199.0,193.0,193.6
2019-06-18,193.45,195.3,189.3,189.95
2019-06-19,192.25,196.25,188.4,190.05
2019-06-20,190.2,194.8,188.1,194.3
2019-06-21,193.9,198.3,193.15,197.65
2019-06-24,197.0,203.25,196.5,198.2
2019-06-25,196.5,203.9,194.5,202.5
2019-06-26,201.5,208.95,201.05,208.35
2019-06-27,209.65,210.4,205.35,206.1
2019-06-28,206.0,207.6,203.55,207.05
2019-07-01,208.1,210.6,207.2,208.9
2019-07-02,209.0,210.2,206.0,209.35
2019-07-03,208.75,210.3,205.35,208.7
2019-07-04,208.4,209.5,206.25,206.9
2019-07-05,206.55,206.8,198.0,198.9
2019-07-08,197.0,200.5,195.0,197.6
2019-07-09,197.0,199.0,193.1,197.9
2019-07-10,196.0,197.4,192.5,193.65
2019-07-11,196.5,199.25,194.85,198.45
2019-07-12,199.0,201.45,197.4,198.85
2019-07-15,198.55,201.0,195.8,200.15
2019-07-16,199.4,202.5,197.5,199.1
2019-07-17,198.9,204.2,198.1,203.45
2019-07-18,201.9,202.9,199.35,200.55
2019-07-19,202.0,203.7,195.0,196.0
2019-07-22,195.95,205.45,194.8,202.4
2019-07-23,202.05,204.25,200.4,203.1
2019-07-24,203.05,203.9,195.65,197.25
2019-07-25,197.9,200.25,195.45,196.75
2019-07-26,196.75,199.35,194.75,198.0
2019-07-29,196.35,198.5,192.4,193.25
2019-07-30,192.4,194.8,188.85,190.1
2019-07-31,188.0,191.25,184.8,190.55
2019-08-01,189.0,189.25,180.3,182.75
2019-08-02,179.8,182.3,176.35,180.4
2019-08-05,178.0,178.0,171.6,175.75
2019-08-06,173.0,182.6,173.0,180.7
2019-08-07,183.0,184.1,175.8,176.4
2019-08-08,177.5,181.8,175.4,181.05
2019-08-09,181.0,184.45,173.3,176.2
2019-08-13,175.25,180.3,173.0,176.25
2019-08-14,176.6,181.25,176.0,180.6
2019-08-16,179.1,181.5,173.7,179.8
2019-08-19,180.15,182.25,177.75,181.15
2019-08-20,182.0,182.35,177.8,179.4
2019-08-21,178.9,178.9,173.25,177.05
2019-08-22,174.0,179.3,172.65,176.55
2019-08-23,173.6,181.95,172.15,180.25
2019-08-26,182.05,182.25,171.1,178.75
2019-08-27,180.0,182.45,177.7,181.2
2019-08-28,181.5,182.0,176.5,178.4
2019-08-29,176.8,180.9,174.9,179.7
2019-08-30,182.25,187.0,181.45,184.45
2019-09-03,182.5,182.5,177.4,178.4
2019-09-04,179.0,182.2,176.6,181.65
2019-09-05,182.25,188.65,182.25,184.6
2019-09-06,184.9,189.7,182.0,188.4
2019-09-09,188.5,190.05,184.75,189.25
2019-09-11,189.1,194.2,189.0,193.45
2019-09-12,193.95,197.6,193.6,197.1
2019-09-13,196.65,201.9,195.2,200.35
2019-09-16,198.1,201.25,197.95,200.4
2019-09-17,200.0,202.95,196.65,197.95
2019-09-18,198.4,200.8,197.15,198.0
2019-09-19,198.0,198.9,193.15,195.95
2019-09-20,196.05,208.2,194.75,202.15
2019-09-23,204.55,206.85,198.0,200.0
2019-09-24,199.95,202.35,196.05,197.8
2019-09-25,196.1,196.6,188.9,189.9
2019-09-26,191.0,196.5,190.25,195.95
2019-09-27,194.55,194.95,189.5,190.7
2019-09-30,189.4,191.9,184.75,191.35
2019-10-01,191.3,194.55,186.75,189.75
