Date,Open,High,Low,Close
2019-04-30,407.75,409.8,403.3,407.5
2019-05-02,403.7,405.0,394.4,395.55
2019-05-03,397.15,405.2,394.7,401.8
2019-05-06,396.5,404.9,394.65,401.3
2019-05-07,398.0,407.35,384.3,386.5
2019-05-08,386.3,390.0,380.1,382.2
2019-05-09,380.95,385.7,377.55,381.4
2019-05-10,383.5,389.2,382.25,385.1
2019-05-13,385.0,385.75,375.25,376.3
2019-05-14,378.1,386.75,376.5,380.4
2019-05-15,382.35,384.5,375.8,377.05
2019-05-16,379.0,385.0,377.55,382.5
2019-05-17,381.2,392.0,380.75,389.7
2019-05-20,405.25,414.0,402.0,407.7
2019-05-21,408.6,410.8,397.6,400.15
2019-05-22,403.0,408.4,401.55,405.35
2019-05-23,414.0,427.95,407.4,410.85
2019-05-24,415.5,433.55,412.65,431.75
2019-05-27,432.25,438.8,429.65,435.5
2019-05-28,435.05,439.2,428.1,434.3
2019-05-29,428.6,430.45,422.1,423.3
2019-05-30,420.85,428.0,419.6,426.2
2019-05-31,427.0,430.2,414.3,423.7
2019-06-03,426.0,426.4,419.6,422.9
2019-06-04,417.7,422.75,417.5,419.1
2019-06-06,417.4,417.85,410.35,411.55
2019-06-07,413.5,418.95,407.9,416.6
2019-06-10,418.9,422.75,413.0,416.1
2019-06-11,418.45,423.7,413.05,421.35
2019-06-12,422.0,422.0,414.8,418.0
2019-06-13,416.7,422.3,415.3,419.6
2019-06-14,420.3,422.0,416.1,417.75
2019-06-17,418.95,419.7,413.15,414.2
2019-06-18,415.45,426.05,415.1,422.15
2019-06-19,423.75,426.0,417.35,419.8
2019-06-20,419.75,434.65,419.0,433.4
2019-06-21,434.2,435.2,428.85,430.8
2019-06-24,431.45,433.8,428.2,429.45
2019-06-25,427.9,434.8,424.6,433.65
2019-06-26,432.5,440.0,432.5,438.65
2019-06-27,438.0,443.9,437.6,440.95
2019-06-28,439.5,440.5,433.6,437.1
2019-07-01,439.5,442.0,437.7,439.0
2019-07-02,439.0,440.0,433.6,436.75
2019-07-03,437.9,440.0,434.2,435.95
2019-07-04,438.0,441.4,434.1,436.2
2019-07-05,436.45,439.9,433.2,436.35
2019-07-08,434.0,435.35,422.0,425.9
2019-07-09,426.0,429.8,424.65,428.5
2019-07-10,430.0,432.7,427.2,430.9
2019-07-11,432.65,432.9,424.8,426.55
2019-07-12,427.3,433.0,424.0,427.05
2019-07-15,428.4,428.4,421.6,422.3
2019-07-16,421.55,430.55,421.55,424.6
2019-07-17,424.6,427.05,422.5,424.7
2019-07-18,425.0,425.5,417.5,418.65
2019-07-19,419.9,420.35,408.5,410.3
2019-07-22,409.75,412.95,404.25,411.5
2019-07-23,412.8,416.0,409.75,411.95
2019-07-24,411.85,411.85,401.7,408.5
2019-07-25,409.2,413.85,405.3,409.0
2019-07-26,410.25,419.4,408.55,415.75
2019-07-29,433.0,435.35,425.3,429.35
2019-07-30,433.0,438.7,422.75,425.35
2019-07-31,423.9,430.2,421.2,424.6
2019-08-01,423.25,426.35,410.65,417.05
2019-08-02,413.9,417.85,405.5,410.6
2019-08-05,403.65,406.65,395.75,402.65
2019-08-06,401.0,411.5,400.9,410.25
2019-08-07,409.3,415.0,406.3,408.4
2019-08-08,411.0,416.6,404.15,414.4
2019-08-09,416.5,422.4,414.5,420.15
2019-08-13,417.0,421.7,409.15,410.25
2019-08-14,411.9,422.2,411.25,417.3
2019-08-16,417.8,420.0,412.1,418.95
2019-08-19,420.1,427.9,420.1,423.4
2019-08-20,420.8,423.2,412.5,416.9
2019-08-21,416.0,418.7,410.55,412.05
2019-08-22,411.0,412.5,398.0,399.1
2019-08-23,389.0,403.5,385.8,395.4
2019-08-26,407.0,414.0,392.85,411.65
2019-08-27,412.8,420.5,411.25,418.6
2019-08-28,418.0,418.25,409.7,412.95
2019-08-29,409.9,410.8,399.35,404.4
2019-08-30,406.5,412.85,402.65,409.65
2019-09-03,405.05,406.4,391.05,392.15
2019-09-04,391.0,399.65,389.9,397.5
2019-09-05,389.55,394.0,388.0,389.0
2019-09-06,391.0,394.5,389.2,391.35
2019-09-09,393.0,400.4,389.1,395.45
2019-09-11,394.9,399.0,393.35,394.6
2019-09-12,399.65,407.2,399.65,402.7
2019-09-13,406.8,414.9,400.65,413.4
2019-09-16,408.5,415.65,406.75,412.15
2019-09-17,405.85,411.9,398.3,400.65
2019-09-18,405.45,405.45,396.5,399.35
2019-09-19,395.7,395.7,384.35,386.6
2019-09-20,389.0,424.0,386.65,417.5
2019-09-23,435.8,450.0,428.45,446.3
2019-09-24,441.5,448.65,433.35,440.9
2019-09-25,439.1,440.95,429.6,434.2
2019-09-26,439.0,458.65,438.55,451.95
2019-09-27,449.5,451.85,443.3,449.2
2019-09-30,443.3,445.15,431.0,433.7
2019-10-01,436.95,443.2,416.7,424.6
2019-10-03,424.0,434.6,422.3,427.3
2019-10-04,428.5,429.3,412.05,413.9
2019-10-07,415.1,423.5,411.5,416.1
2019-10-09,420.25,438.4,417.1,436.7
2019-10-10,430.0,431.5,420.5,423.7
2019-10-11,427.95,433.25,422.1,428.55
2019-10-14,430.0,436.4,426.0,428.85
2019-10-15,430.0,435.45,428.2,431.85
2019-10-16,434.5,439.5,431.15,435.3
2019-10-17,436.0,443.35,433.7,440.6
2019-10-18,437.7,443.7,435.25,437.8
2019-10-22,440.5,458.7,437.55,451.15
2019-10-23,452.0,459.0,448.2,455.1
2019-10-24,457.4,459.0,451.0,454.75
2019-10-25,457.7,470.65,454.4,469.1
2019-10-27,471.0,473.5,465.0,469.55
2019-10-29,470.2,482.0,466.85,477.4
2019-10-30,479.0,479.0,470.0,471.15
2019-10-31,475.0,476.75,461.3,463.05
2019-11-01,466.65,466.95,460.5,462.25
2019-11-04,463.0,472.3,463.0,470.5
2019-11-05,472.1,474.0,466.9,468.35
2019-11-06,467.15,483.9,464.75,480.7
2019-11-07,483.0,483.0,475.65,478.55
2019-11-08,480.75,496.0,480.3,489.45
2019-11-11,488.0,499.0,484.6,496.8
2019-11-13,496.8,497.5,483.3,485.75
2019-11-14,489.75,499.85,483.75,498.65
2019-11-15,497.85,509.7,496.0,499.85
2019-11-18,498.75,504.45,496.65,498.35
2019-11-19,497.95,502.0,489.85,493.5
2019-11-20,495.2,498.0,492.5,495.0
2019-11-21,498.1,503.8,491.25,498.25
2019-11-22,501.1,501.75,492.15,496.8
2019-11-25,492.0,500.0,491.55,497.8
2019-11-26,501.8,517.55,501.0,510.7
2019-11-27,513.9,515.85,504.3,505.5
2019-11-28,509.55,520.0,508.0,519.15
2019-11-29,516.0,516.5,510.3,512.6
2019-12-02,513.45,514.0,507.25,510.9
2019-12-03,509.75,511.25,504.65,509.35
2019-12-04,510.0,531.35,509.3,529.25
