Date,Open,High,Low,Close
2019-04-30,659.7,662.2,640.0,645.3
2019-05-02,646.0,660.7,635.2,645.9
2019-05-03,645.05,652.5,642.85,645.8
2019-05-06,640.0,645.0,635.1,638.5
2019-05-07,641.75,642.9,634.2,636.0
2019-05-08,635.55,637.0,619.0,621.65
2019-05-09,620.9,627.95,616.1,625.45
2019-05-10,626.25,631.85,619.0,628.75
2019-05-13,628.7,628.7,615.0,617.6
2019-05-14,616.9,620.55,610.55,614.25
2019-05-15,618.0,628.4,606.95,609.65
2019-05-16,610.0,612.65,597.2,605.25
2019-05-17,607.0,622.5,607.0,619.65
2019-05-20,635.0,662.5,632.25,653.25
2019-05-21,660.0,662.7,634.4,639.15
2019-05-22,643.85,643.85,631.25,640.55
2019-05-23,650.0,655.0,635.1,639.5
2019-05-24,644.75,667.5,637.85,665.45
2019-05-27,667.7,683.0,665.0,679.35
2019-05-28,680.0,682.25,667.25,670.55
2019-05-29,668.0,677.5,660.85,672.15
2019-05-30,660.0,667.5,656.35,661.7
2019-05-31,659.7,665.95,645.1,647.05
2019-06-03,647.05,659.0,635.05,653.4
2019-06-04,654.8,659.4,647.8,650.75
2019-06-06,654.3,655.5,631.35,634.1
2019-06-07,640.0,645.7,630.05,644.05
2019-06-10,643.4,649.4,638.2,646.95
2019-06-11,647.95,647.95,636.0,636.85
2019-06-12,633.0,638.9,629.45,632.2
2019-06-13,632.0,642.7,628.1,641.05
2019-06-14,640.05,641.0,633.4,637.25
2019-06-17,641.0,641.95,622.25,625.05
2019-06-18,624.0,629.8,620.1,625.9
2019-06-19,629.85,632.35,608.0,615.15
2019-06-20,614.8,630.95,611.25,627.15
2019-06-21,627.0,633.45,622.25,627.45
2019-06-24,626.0,637.0,626.0,634.85
2019-06-25,635.0,644.65,635.0,641.65
2019-06-26,640.0,647.5,640.0,643.5
2019-06-27,645.0,660.8,645.0,657.9
2019-06-28,659.8,662.45,651.5,655.35
2019-07-01,657.3,663.45,654.45,660.0
2019-07-02,661.0,668.5,656.3,666.25
2019-07-03,668.95,675.0,663.3,669.25
2019-07-04,671.5,674.2,665.3,672.15
2019-07-05,672.0,675.3,638.5,642.05
2019-07-08,640.35,645.2,626.2,635.85
2019-07-09,632.0,638.5,630.0,632.7
2019-07-10,630.0,636.1,619.1,621.65
2019-07-11,625.4,635.65,623.6,634.15
2019-07-12,634.1,637.0,628.5,631.9
2019-07-15,632.05,638.0,625.45,631.85
2019-07-16,624.7,627.9,618.85,622.9
2019-07-17,623.0,626.45,615.3,617.95
2019-07-18,613.9,616.45,595.0,597.4
2019-07-19,601.15,601.5,570.0,571.3
2019-07-22,571.3,576.7,559.9,564.9
2019-07-23,566.1,567.0,555.85,559.1
2019-07-24,557.0,557.9,546.0,550.0
2019-07-25,550.0,553.0,541.9,547.55
2019-07-26,545.9,566.4,545.0,564.45
2019-07-29,564.0,565.0,552.15,553.15
2019-07-30,551.8,561.3,547.55,548.75
2019-07-31,546.6,553.8,541.75,550.0
2019-08-01,546.0,551.8,539.3,548.55
2019-08-02,544.9,563.85,542.15,556.45
2019-08-05,550.45,554.25,542.35,545.45
2019-08-06,543.0,552.25,543.0,549.45
2019-08-07,551.5,551.5,515.0,518.3
2019-08-08,518.5,541.5,516.35,539.55
2019-08-09,540.9,548.3,530.0,545.55
2019-08-13,545.0,545.0,510.25,512.4
2019-08-14,515.9,525.85,502.55,523.55
2019-08-16,524.7,531.9,515.55,527.85
2019-08-19,527.0,535.75,518.0,520.55
2019-08-20,522.9,535.0,517.5,527.8
2019-08-21,528.3,535.6,518.1,520.9
2019-08-22,521.55,523.75,509.85,511.8
2019-08-23,511.0,536.3,509.25,533.25
2019-08-26,552.7,552.7,528.9,544.3
2019-08-27,547.0,559.0,544.5,554.05
2019-08-28,556.7,559.9,534.75,539.7
