Date,Open,High,Low,Close
2019-04-30,543.05,560.8,535.7,557.2
2019-05-02,554.1,561.65,549.45,554.95
2019-05-03,554.0,556.0,546.6,547.8
2019-05-06,534.25,543.5,527.45,535.95
2019-05-07,544.95,544.95,529.0,530.6
2019-05-08,531.25,532.4,521.6,522.65
2019-05-09,522.55,526.4,516.35,519.15
2019-05-10,522.0,525.75,479.05,486.8
2019-05-13,480.1,488.0,463.4,472.3
2019-05-14,466.95,477.6,456.3,469.55
2019-05-15,473.05,480.95,460.65,462.95
2019-05-16,463.95,471.3,455.15,469.25
2019-05-17,465.05,471.5,461.0,469.45
2019-05-20,478.0,494.75,476.65,483.8
2019-05-21,484.85,484.9,468.75,472.55
2019-05-22,472.0,480.55,467.4,473.0
2019-05-23,477.6,486.5,462.05,464.7
2019-05-24,465.0,486.3,458.4,484.15
2019-05-27,484.5,514.3,483.55,512.55
2019-05-28,514.1,518.6,505.2,507.05
2019-05-29,505.7,511.75,491.85,493.3
2019-05-30,493.0,496.45,486.0,487.95
2019-05-31,490.8,494.75,481.05,488.3
2019-06-03,488.95,501.85,485.1,497.65
2019-06-04,496.0,502.75,491.9,497.65
2019-06-06,497.65,502.55,483.0,484.6
2019-06-07,483.0,489.9,475.8,482.1
2019-06-10,489.0,494.8,483.1,486.05
2019-06-11,489.9,494.15,487.0,492.5
2019-06-12,492.75,508.0,490.05,505.85
2019-06-13,504.0,505.85,496.55,502.55
2019-06-14,499.05,508.5,497.05,501.8
2019-06-17,500.1,500.85,472.05,473.1
2019-06-18,473.25,478.5,463.65,472.3
2019-06-19,482.1,498.4,482.1,494.1
2019-06-20,494.1,502.8,489.85,501.0
2019-06-21,500.0,500.9,494.45,497.65
2019-06-24,497.2,499.8,481.85,486.25
2019-06-25,474.0,499.8,473.95,498.0
2019-06-26,495.0,512.3,490.3,510.6
2019-06-27,511.5,516.45,506.65,510.7
2019-06-28,511.5,515.65,499.1,504.4
2019-07-01,509.85,514.85,503.15,506.95
2019-07-02,508.55,510.9,502.1,508.8
2019-07-03,507.9,514.8,504.6,510.3
2019-07-04,500.0,502.65,493.75,495.3
2019-07-05,496.5,498.5,475.3,478.35
2019-07-08,475.0,479.5,465.2,468.05
2019-07-09,469.0,472.0,462.55,468.45
2019-07-10,469.5,474.35,448.05,454.8
2019-07-11,461.3,466.5,453.7,462.0
2019-07-12,464.3,479.45,460.25,472.9
2019-07-15,478.0,478.25,463.35,468.3
2019-07-16,465.1,478.6,464.1,476.7
2019-07-17,476.0,479.8,468.5,475.7
2019-07-18,473.0,475.35,463.85,466.6
2019-07-19,470.0,473.0,453.25,458.05
2019-07-22,458.05,467.3,451.2,465.55
2019-07-23,466.2,467.9,456.75,459.85
2019-07-24,460.95,463.0,443.1,446.0
2019-07-25,448.0,451.95,438.3,440.35
2019-07-26,439.0,448.2,435.65,445.5
2019-07-29,445.55,445.9,431.0,433.45
2019-07-30,434.9,441.9,406.2,415.05
2019-07-31,413.0,433.6,409.5,432.05
2019-08-01,427.5,431.9,414.8,420.0
2019-08-02,413.9,417.15,404.6,409.1
2019-08-05,403.95,403.95,389.7,399.25
2019-08-06,393.65,408.0,393.65,401.6
2019-08-07,395.0,396.5,375.85,381.9
2019-08-08,379.0,379.5,360.6,367.4
2019-08-09,370.5,373.65,360.85,362.35
2019-08-13,361.7,367.6,345.35,348.7
2019-08-14,353.6,370.75,353.4,364.65
2019-08-16,360.0,366.9,355.45,363.05
2019-08-19,365.9,366.95,357.15,359.55
2019-08-20,359.7,361.85,353.15,358.25
2019-08-21,357.0,358.2,341.85,343.0
2019-08-22,339.9,346.95,330.4,333.7
2019-08-23,333.0,348.95,330.35,345.25
2019-08-26,346.4,347.6,322.2,338.05
2019-08-27,340.95,354.7,340.15,350.9
2019-08-28,350.9,350.9,333.4,336.95
