Date,Open,High,Low,Close
2019-04-30,1140.0,1161.75,1133.5,1158.55
2019-05-02,1159.0,1160.0,1135.6,1138.15
2019-05-03,1145.0,1154.8,1135.05,1145.05
2019-05-06,1142.8,1142.8,1075.1,1082.85
2019-05-07,1097.8,1105.0,1083.0,1086.5
2019-05-08,1090.0,1100.0,1067.85,1088.7
2019-05-09,1100.0,1110.0,1088.7,1104.45
2019-05-10,1108.0,1137.85,1094.3,1132.1
2019-05-13,1125.3,1152.8,1124.05,1144.7
2019-05-14,1140.0,1163.0,1122.95,1154.75
2019-05-15,1160.0,1167.5,1152.35,1163.0
2019-05-16,1162.7,1195.0,1159.95,1186.45
2019-05-17,1184.0,1203.0,1180.0,1190.5
2019-05-20,1214.0,1238.0,1205.0,1231.65
2019-05-21,1239.0,1251.65,1233.35,1244.4
2019-05-22,1245.95,1250.9,1226.35,1241.1
2019-05-23,1259.25,1262.8,1216.25,1220.25
2019-05-24,1221.0,1229.95,1194.45,1219.9
2019-05-27,1226.5,1243.5,1203.5,1240.95
2019-05-28,1243.0,1244.9,1222.7,1231.55
2019-05-29,1232.0,1237.7,1224.2,1234.65
2019-05-30,1234.0,1249.8,1225.0,1240.6
2019-05-31,1248.0,1250.65,1227.0,1235.75
2019-06-03,1239.0,1269.0,1227.5,1266.25
2019-06-04,1267.0,1276.85,1243.8,1248.0
2019-06-06,1255.0,1273.65,1244.65,1269.45
2019-06-07,1274.95,1274.95,1254.0,1268.95
2019-06-10,1274.65,1289.2,1270.0,1277.0
2019-06-11,1278.0,1288.0,1266.8,1284.95
2019-06-12,1284.95,1292.7,1277.55,1288.85
2019-06-13,1283.0,1298.25,1276.4,1295.45
2019-06-14,1296.05,1297.95,1277.1,1281.9
2019-06-17,1286.0,1292.55,1248.5,1256.05
2019-06-18,1256.05,1261.0,1235.0,1257.5
2019-06-19,1280.0,1288.0,1257.65,1275.1
2019-06-20,1274.5,1308.95,1266.05,1306.6
2019-06-21,1306.0,1317.0,1288.25,1292.35
2019-06-24,1302.0,1307.4,1291.05,1300.05
2019-06-25,1309.0,1320.85,1296.05,1318.15
2019-06-26,1312.6,1322.9,1306.65,1309.05
