Date,Open,High,Low,Close
2019-04-30,170.0,170.35,163.5,166.85
2019-05-02,165.9,169.2,164.2,168.3
2019-05-03,168.7,169.0,165.8,167.7
2019-05-06,164.0,168.25,163.05,166.75
2019-05-07,167.3,170.25,162.5,163.5
2019-05-08,160.5,163.45,156.0,159.4
2019-05-09,159.0,160.5,156.65,157.15
2019-05-10,158.4,159.55,153.85,155.95
2019-05-13,156.3,157.95,152.8,154.2
2019-05-14,153.3,161.85,153.3,160.75
2019-05-15,161.7,163.2,159.2,160.05
2019-05-16,161.3,164.1,158.85,163.5
2019-05-17,163.15,164.3,159.35,160.95
2019-05-20,165.0,168.0,164.0,167.1
2019-05-21,168.4,168.75,163.8,165.45
2019-05-22,165.45,167.9,164.7,166.3
2019-05-23,168.45,168.45,156.0,157.35
2019-05-24,159.0,164.6,155.55,163.9
2019-05-27,164.45,167.8,163.0,166.5
2019-05-28,166.5,171.7,165.75,169.55
2019-05-29,168.5,168.75,163.65,165.85
2019-05-30,165.25,166.4,162.5,164.0
2019-05-31,164.85,165.5,158.5,160.55
2019-06-03,160.45,165.0,159.3,164.2
2019-06-04,164.3,167.7,164.0,165.9
2019-06-06,165.9,166.35,160.8,163.1
2019-06-07,163.2,167.85,162.55,164.2
2019-06-10,167.1,168.3,163.3,165.2
2019-06-11,166.1,169.9,165.5,169.35
2019-06-12,168.95,173.3,168.35,170.1
2019-06-13,170.0,170.55,165.2,168.45
2019-06-14,168.5,171.4,167.6,169.55
2019-06-17,168.95,168.95,163.25,164.05
2019-06-18,164.0,169.3,164.0,168.1
2019-06-19,170.55,172.9,166.3,168.5
2019-06-20,168.9,172.5,166.5,172.0
2019-06-21,171.95,173.85,170.95,172.4
2019-06-24,172.5,173.4,167.0,168.45
2019-06-25,168.15,171.5,167.0,170.35
2019-06-26,169.1,179.35,168.75,177.85
2019-06-27,179.0,180.0,176.25,176.85
2019-06-28,176.75,177.6,172.35,174.35
2019-07-01,177.0,177.15,172.55,174.05
2019-07-02,173.95,175.85,171.25,174.65
2019-07-03,174.45,174.45,170.0,172.7
2019-07-04,173.6,174.2,170.2,171.05
2019-07-05,171.4,171.4,163.1,163.65
2019-07-08,163.0,165.2,160.85,161.95
2019-07-09,161.9,163.6,160.0,161.5
2019-07-10,161.4,162.1,156.75,160.0
2019-07-11,162.5,165.2,160.8,163.65
2019-07-12,164.1,168.65,162.35,167.65
2019-07-15,167.75,167.75,162.65,166.75
2019-07-16,166.65,170.2,166.0,166.9
2019-07-17,167.6,169.1,166.8,168.65
2019-07-18,167.55,167.7,162.1,163.05
2019-07-19,164.05,165.85,160.6,161.25
2019-07-22,161.3,168.75,161.3,167.25
2019-07-23,167.35,168.4,164.75,168.1
2019-07-24,168.0,168.4,160.8,165.05
2019-07-25,164.85,172.7,164.25,171.45
2019-07-26,175.1,175.9,162.75,164.1
2019-07-29,165.0,165.5,155.05,155.65
2019-07-30,155.5,159.0,149.8,150.6
2019-07-31,150.35,154.65,148.1,154.1
2019-08-01,152.2,152.4,144.0,145.45
2019-08-02,141.9,145.0,139.25,143.0
2019-08-05,140.3,142.8,134.45,140.7
2019-08-06,139.3,143.8,138.3,140.8
2019-08-07,140.0,141.2,136.05,136.65
2019-08-08,137.0,139.0,134.8,138.7
2019-08-09,139.0,144.8,138.4,141.5
2019-08-13,138.0,142.9,136.45,139.75
2019-08-14,140.6,148.1,140.6,146.55
2019-08-16,144.35,145.7,140.95,144.4
2019-08-19,145.4,146.15,142.25,144.3
2019-08-20,143.8,144.85,141.6,142.4
2019-08-21,141.1,141.7,138.05,139.95
2019-08-22,138.6,138.9,125.3,129.05
2019-08-23,129.3,138.35,127.55,137.4
2019-08-26,136.5,137.8,129.6,135.05
2019-08-27,136.7,138.95,134.85,138.1
2019-08-28,138.1,138.45,131.6,132.35
2019-08-29,132.7,137.95,130.8,135.75
2019-08-30,137.65,140.6,135.0,139.15
2019-09-03,139.25,139.3,133.55,134.15
2019-09-04,135.0,137.6,132.5,136.7
2019-09-05,139.1,142.5,138.3,139.3
2019-09-06,140.3,143.0,138.85,141.8
2019-09-09,141.95,143.8,139.2,141.25
2019-09-11,144.9,147.0,143.4,146.3
2019-09-12,146.9,147.9,144.5,145.45
2019-09-13,146.0,150.15,143.55,149.3
2019-09-16,147.95,151.0,147.15,148.65
2019-09-17,149.8,153.2,144.45,145.4
2019-09-18,146.0,150.5,145.1,149.7
2019-09-19,149.0,150.1,142.0,146.15
2019-09-20,147.6,161.4,145.5,158.95
2019-09-23,164.0,165.05,155.2,157.9
2019-09-24,158.25,162.15,156.7,159.95
2019-09-25,157.0,158.5,152.75,156.2
2019-09-26,157.2,167.0,156.4,166.1
2019-09-27,165.5,165.5,156.3,157.25
2019-09-30,155.6,156.0,151.25,154.15
2019-10-01,154.4,156.1,145.3,151.3
2019-10-03,149.0,149.0,143.3,144.4
2019-10-04,145.75,147.05,142.5,143.3
2019-10-07,144.0,145.7,141.5,142.65
2019-10-09,142.0,146.5,141.15,145.7
2019-10-10,143.9,145.5,140.5,141.15
2019-10-11,142.55,148.2,141.15,147.05
2019-10-14,148.75,152.8,147.0,147.8
2019-10-15,147.15,155.9,144.5,153.5
2019-10-16,153.75,153.8,149.15,149.9
2019-10-17,148.05,149.7,144.75,148.3
2019-10-18,148.4,152.2,147.8,150.25
2019-10-22,150.6,151.95,147.2,149.15
2019-10-23,149.0,150.0,145.5,146.25
2019-10-24,147.0,148.6,145.0,145.7
2019-10-25,145.95,146.9,141.6,142.2
2019-10-27,144.1,145.15,143.35,144.65
2019-10-29,145.55,152.5,145.55,149.5
2019-10-30,151.45,151.6,149.35,150.1
2019-10-31,151.0,151.2,147.05,148.35
2019-11-01,148.45,155.0,146.7,153.05
2019-11-04,156.55,161.2,156.0,157.6
2019-11-05,159.6,160.9,156.2,157.5
2019-11-06,157.0,161.15,156.7,157.95
2019-11-07,158.95,163.0,155.35,160.95
2019-11-08,160.2,161.8,155.0,155.5
