Date,Open,High,Low,Close
2019-04-30,295.0,299.45,295.0,298.55
2019-05-02,298.55,298.85,292.65,293.65
2019-05-03,293.5,293.7,288.55,290.9
2019-05-06,289.9,293.8,289.2,290.85
2019-05-07,292.65,294.95,290.3,293.85
2019-05-08,294.25,294.25,290.05,290.85
2019-05-09,291.8,293.1,290.3,291.05
2019-05-10,291.5,292.4,290.0,290.35
2019-05-13,290.5,293.5,288.25,289.1
2019-05-14,289.0,289.0,283.1,284.6
2019-05-15,285.5,285.95,282.3,283.0
2019-05-16,283.85,287.0,283.85,285.35
2019-05-17,286.5,289.9,285.3,286.4
2019-05-20,289.5,291.5,287.4,290.25
2019-05-21,290.6,291.0,286.0,286.9
2019-05-22,287.0,287.5,281.0,283.1
2019-05-23,285.6,285.9,281.5,282.2
2019-05-24,283.9,284.2,280.0,282.9
2019-05-27,284.0,284.1,280.2,280.5
2019-05-28,281.0,285.75,279.65,282.95
2019-05-29,284.5,288.5,283.5,285.7
2019-05-30,286.0,290.0,285.5,288.0
2019-05-31,288.15,290.0,285.0,286.4
2019-06-03,288.5,292.05,287.25,291.3
2019-06-04,294.0,295.95,290.8,293.75
2019-06-06,294.0,294.6,291.0,291.5
2019-06-07,292.5,295.9,292.0,295.05
2019-06-10,295.75,298.0,295.5,297.1
2019-06-11,297.0,299.5,296.1,297.7
2019-06-12,297.5,298.8,296.85,298.0
2019-06-13,298.0,298.9,297.15,298.4
2019-06-14,298.75,301.6,298.0,298.8
2019-06-17,300.0,300.75,298.85,299.15
2019-06-18,299.5,300.5,296.0,298.0
2019-06-19,299.0,299.2,292.15,294.05
2019-06-20,284.05,287.8,282.4,286.95
2019-06-21,287.0,290.0,284.2,285.85
2019-06-24,285.5,287.6,283.15,283.9
2019-06-25,284.0,286.3,281.85,285.3
2019-06-26,285.15,288.0,284.55,286.15
2019-06-27,287.35,287.8,280.7,282.1
2019-06-28,283.8,283.8,280.0,280.5
2019-07-01,281.6,283.4,280.95,282.0
2019-07-02,282.45,285.0,281.7,284.25
2019-07-03,284.9,285.6,282.05,282.85
2019-07-04,283.0,284.9,282.0,283.85
2019-07-05,284.0,284.55,271.0,271.85
2019-07-08,267.75,271.25,266.05,266.9
2019-07-09,267.5,270.75,264.25,265.5
2019-07-10,264.7,269.5,263.3,266.95
2019-07-11,267.5,270.0,266.1,267.75
2019-07-12,268.0,268.65,258.05,258.95
2019-07-15,260.0,262.0,255.9,259.9
2019-07-16,259.0,262.7,256.25,260.0
2019-07-17,262.0,262.8,258.1,259.6
2019-07-18,261.0,274.15,259.55,269.1
2019-07-19,269.1,269.65,263.5,264.7
2019-07-22,265.6,266.3,262.4,264.8
2019-07-23,264.9,270.0,263.8,264.5
2019-07-24,264.5,265.85,262.0,264.2
2019-07-25,265.45,265.45,261.5,262.25
2019-07-26,262.2,264.75,260.8,263.6
2019-07-29,263.0,267.15,260.25,262.4
2019-07-30,262.9,264.8,261.0,262.3
2019-07-31,262.5,266.3,260.55,265.3
2019-08-01,271.5,276.15,268.55,270.4
2019-08-02,269.9,270.9,261.7,263.65
2019-08-05,261.15,265.4,260.3,262.0
2019-08-06,262.0,262.7,257.8,258.9
2019-08-07,259.0,264.25,259.0,262.55
2019-08-08,263.0,267.0,261.35,265.75
2019-08-09,266.0,268.7,262.85,263.5
2019-08-13,264.9,264.9,258.0,258.5
2019-08-14,259.8,260.1,250.25,251.05
2019-08-16,250.0,251.0,245.05,249.2
2019-08-19,250.3,253.2,250.0,252.1
2019-08-20,253.3,259.1,252.2,253.3
2019-08-21,253.5,254.9,251.1,252.4
2019-08-22,252.0,253.5,248.5,252.05
2019-08-23,252.95,257.1,249.55,251.4
2019-08-26,252.4,252.95,247.85,249.1
2019-08-27,248.7,251.65,247.1,250.1
2019-08-28,250.1,253.2,248.1,249.25
2019-08-29,247.05,250.25,247.05,248.8
2019-08-30,250.1,255.25,249.15,254.4
2019-09-03,254.1,255.35,252.55,253.65
2019-09-04,251.5,256.85,251.3,256.05
2019-09-05,258.9,258.9,254.5,255.6
2019-09-06,255.35,257.3,248.8,252.0
2019-09-09,251.4,256.1,250.35,255.6
2019-09-11,254.0,255.0,247.35,248.15
2019-09-12,245.7,248.5,244.0,244.55
2019-09-13,245.0,247.4,243.2,245.35
2019-09-16,245.1,247.85,244.1,247.1
2019-09-17,246.95,247.4,243.7,244.15
2019-09-18,245.4,245.95,243.3,244.3
2019-09-19,245.25,245.85,240.25,241.5
2019-09-20,241.9,248.7,240.5,245.95
2019-09-23,247.7,248.0,236.5,239.35
2019-09-24,240.9,242.95,239.5,240.7
2019-09-25,240.5,241.35,238.0,238.8
2019-09-26,239.2,240.45,236.55,237.1
2019-09-27,237.4,239.0,235.8,236.6
2019-09-30,237.0,240.65,235.75,239.8
2019-10-01,240.0,240.45,232.2,233.5
2019-10-03,234.2,239.6,232.55,235.85
2019-10-04,238.0,240.9,236.25,237.7
2019-10-07,238.05,242.4,236.2,237.05
2019-10-09,239.25,239.6,236.4,237.75
2019-10-10,237.75,239.6,235.8,239.2
2019-10-11,237.0,240.4,236.5,239.45
2019-10-14,239.8,244.85,238.0,243.45
2019-10-15,244.95,245.5,239.25,243.65
2019-10-16,245.9,251.7,244.0,248.9
2019-10-17,248.9,250.15,246.6,247.85
2019-10-18,247.85,250.7,247.85,248.9
2019-10-22,249.0,254.45,247.1,253.55
2019-10-23,252.8,255.55,250.05,254.35
2019-10-24,253.9,254.2,249.2,249.6
2019-10-25,252.05,253.5,248.75,253.0
2019-10-27,254.55,255.25,253.0,253.65
2019-10-29,253.65,255.9,252.2,255.2
2019-10-30,258.0,260.9,253.4,254.75
