Date,Open,High,Low,Close
2019-04-30,420.3,439.5,414.1,432.6
2019-05-02,433.65,435.3,416.65,418.45
2019-05-03,418.9,422.4,410.1,411.4
2019-05-06,409.5,410.85,384.7,387.75
2019-05-07,391.0,393.05,342.0,369.15
2019-05-08,372.0,372.5,321.65,331.6
2019-05-09,340.0,362.65,335.8,357.9
2019-05-10,361.9,373.9,360.0,371.2
2019-05-13,372.0,372.1,338.5,342.05
2019-05-14,344.95,352.95,332.05,346.3
2019-05-15,346.3,349.6,309.35,322.35
2019-05-16,326.0,351.7,318.1,345.7
2019-05-17,350.1,377.8,346.3,372.15
2019-05-20,384.95,394.95,355.05,362.5
2019-05-21,363.95,367.0,344.4,347.7
2019-05-22,349.95,350.95,339.2,342.2
2019-05-23,350.0,364.95,348.3,360.45
2019-05-24,360.05,380.4,355.75,376.85
2019-05-27,374.5,376.85,357.95,361.0
2019-05-28,371.0,384.8,352.3,381.8
2019-05-29,378.0,378.0,367.5,372.55
2019-05-30,371.4,375.6,361.3,365.25
2019-05-31,367.7,372.45,352.55,357.45
2019-06-03,362.45,366.0,353.55,359.55
2019-06-04,358.95,358.95,345.0,346.05
2019-06-06,340.0,345.9,333.5,341.05
2019-06-07,342.9,346.45,335.9,340.2
2019-06-10,343.9,346.0,329.4,335.35
2019-06-11,338.7,349.35,332.3,346.2
2019-06-12,344.0,349.55,339.3,342.85
2019-06-13,340.2,354.0,336.6,352.6
2019-06-14,350.7,353.45,326.25,336.5
2019-06-17,338.0,341.65,334.25,338.1
2019-06-18,340.0,350.0,333.3,339.35
2019-06-19,341.25,358.2,340.5,353.0
2019-06-20,351.3,355.95,342.2,351.7
2019-06-21,349.1,355.9,343.45,345.65
2019-06-24,348.9,351.0,334.0,341.35
2019-06-25,336.8,345.4,324.65,343.2
2019-06-26,340.0,346.3,338.9,342.9
2019-06-27,342.0,347.2,337.45,343.5
2019-06-28,340.0,344.35,335.05,338.65
2019-07-01,338.0,367.0,330.25,358.35
2019-07-02,360.2,369.0,352.3,356.4
2019-07-03,354.0,364.95,353.35,360.9
2019-07-04,364.0,366.95,355.5,356.45
2019-07-05,357.95,360.05,343.65,345.9
2019-07-08,346.1,348.05,332.0,334.65
2019-07-09,336.9,340.3,327.1,331.75
2019-07-10,332.05,340.8,330.3,332.75
2019-07-11,335.85,358.65,335.15,354.8
2019-07-12,357.4,357.85,347.7,350.7
2019-07-15,347.7,349.75,340.65,345.6
2019-07-16,341.7,352.8,339.3,346.25
2019-07-17,346.25,355.9,345.65,353.25
2019-07-18,353.4,364.95,349.2,360.1
2019-07-19,361.0,363.35,343.8,352.95
2019-07-22,350.0,367.25,348.3,364.05
2019-07-23,363.55,367.2,354.5,360.8
2019-07-24,364.4,383.5,358.45,379.6
2019-07-25,376.3,394.65,375.45,391.95
2019-07-26,392.1,405.2,389.4,403.9
2019-07-29,401.45,402.55,384.15,387.15
2019-07-30,387.45,392.35,379.0,381.1
2019-07-31,382.5,391.9,357.45,361.6
2019-08-01,357.0,361.0,335.6,346.85
2019-08-02,346.0,353.1,340.0,341.5
2019-08-05,340.45,341.5,325.25,330.95
2019-08-06,328.0,330.0,304.7,312.45
2019-08-07,313.05,340.75,313.05,327.9
2019-08-08,322.0,334.8,320.2,331.45
2019-08-09,333.0,338.8,324.3,328.1
2019-08-13,328.7,337.5,325.8,327.3
2019-08-14,331.15,346.9,331.15,341.6
2019-08-16,343.7,347.8,336.3,346.6
2019-08-19,345.55,351.85,342.65,348.05
2019-08-20,349.5,354.85,346.55,350.85
2019-08-21,350.0,351.75,342.55,344.2
2019-08-22,342.15,343.9,323.2,328.95
2019-08-23,330.0,354.3,326.55,351.15
2019-08-26,352.0,369.8,346.2,364.9
2019-08-27,361.0,367.6,361.0,363.75
2019-08-28,362.0,369.95,360.8,364.2
2019-08-29,364.2,367.0,358.2,362.1
2019-08-30,363.6,376.0,362.25,373.1
2019-09-03,367.65,369.95,358.7,361.0
2019-09-04,362.0,366.0,348.35,355.5
2019-09-05,356.5,363.3,354.3,360.8
2019-09-06,361.75,366.8,358.65,361.25
2019-09-09,360.1,367.4,356.8,362.95
2019-09-11,366.4,367.25,352.5,354.45
2019-09-12,354.75,358.95,335.3,346.4
2019-09-13,348.85,352.8,343.6,350.5
2019-09-16,348.4,356.8,344.35,344.95
2019-09-17,348.0,348.0,333.55,337.35
2019-09-18,338.15,342.3,333.4,335.4
2019-09-19,335.0,335.0,306.1,308.85
2019-09-20,308.0,316.45,273.05,301.4
2019-09-23,310.0,312.0,267.15,271.6
2019-09-24,275.4,286.95,256.0,279.0
2019-09-25,290.0,294.0,269.0,273.45
2019-09-26,274.7,289.6,270.25,286.7
2019-09-27,281.0,289.7,271.65,273.55
2019-09-30,273.0,275.0,251.65,265.5
2019-10-01,264.5,271.6,199.15,233.15
2019-10-03,237.0,257.95,225.4,251.55
2019-10-04,249.0,253.9,232.6,236.85
2019-10-07,214.25,256.5,203.3,251.5
2019-10-09,250.0,258.0,240.7,245.95
2019-10-10,245.55,248.15,242.4,245.0
2019-10-11,246.55,249.25,235.0,242.5
2019-10-14,243.0,247.85,237.3,242.9
2019-10-15,236.9,253.7,234.55,250.7
2019-10-16,251.35,267.5,250.25,259.65
2019-10-17,260.6,274.0,255.8,264.45
2019-10-18,248.3,262.75,239.55,250.2
2019-10-22,250.2,255.0,247.1,250.45
2019-10-23,253.0,253.3,240.05,242.1
2019-10-24,245.0,245.5,236.3,237.7
2019-10-25,239.0,243.85,233.3,239.7
2019-10-27,241.0,243.8,237.0,238.25
2019-10-29,240.0,241.3,235.3,236.6
