Date,Open,High,Low,Close
2019-04-30,759.95,769.7,755.8,766.85
2019-05-02,765.4,767.8,748.05,752.35
2019-05-03,754.15,763.8,753.45,757.3
2019-05-06,746.0,753.4,744.1,747.45
2019-05-07,751.85,755.5,740.0,741.85
2019-05-08,741.9,744.75,733.35,735.5
2019-05-09,733.9,740.5,729.4,731.0
2019-05-10,734.4,738.5,729.5,735.05
2019-05-13,734.0,742.85,730.0,732.1
2019-05-14,729.4,738.5,722.5,731.35
2019-05-15,735.8,737.7,716.1,721.95
2019-05-16,720.95,735.0,718.7,731.85
2019-05-17,731.8,752.15,727.2,748.95
2019-05-20,760.2,790.65,760.2,782.4
2019-05-21,789.7,791.8,771.05,772.95
2019-05-22,774.8,784.0,770.2,779.15
2019-05-23,788.0,804.3,770.6,776.4
2019-05-24,779.45,795.9,778.5,793.2
2019-05-27,794.0,816.4,787.2,813.9
2019-05-28,816.3,822.1,801.0,808.4
2019-05-29,806.75,813.0,802.1,804.7
2019-05-30,803.25,814.2,803.25,807.55
2019-05-31,811.0,818.7,793.2,808.3
2019-06-03,813.55,814.65,803.1,812.65
2019-06-04,807.55,827.75,805.5,822.8
2019-06-06,824.0,825.95,805.8,807.7
2019-06-07,811.1,813.25,801.3,804.0
2019-06-10,807.4,816.75,807.4,814.15
2019-06-11,817.15,821.45,807.0,814.8
2019-06-12,814.05,815.75,809.1,813.55
2019-06-13,811.25,823.4,810.75,820.15
2019-06-14,820.1,823.1,797.45,801.2
2019-06-17,800.1,801.0,775.1,777.7
2019-06-18,781.95,784.85,770.1,775.75
2019-06-19,780.8,789.0,763.35,770.7
2019-06-20,772.0,775.45,758.85,771.4
2019-06-21,774.75,778.25,762.8,771.05
2019-06-24,771.0,775.25,761.0,762.85
2019-06-25,761.25,783.0,756.55,781.65
2019-06-26,782.9,792.0,781.7,788.6
2019-06-27,788.95,806.85,781.6,800.45
2019-06-28,801.15,812.9,793.3,808.55
2019-07-01,810.75,819.0,807.45,810.45
2019-07-02,811.1,812.55,800.75,802.6
2019-07-03,802.65,811.5,801.5,806.2
2019-07-04,810.0,813.2,804.3,808.85
2019-07-05,808.0,812.95,801.3,806.1
2019-07-08,802.0,803.65,778.65,782.9
2019-07-09,778.5,788.8,776.4,786.2
2019-07-10,786.65,790.0,764.55,769.25
2019-07-11,773.5,773.5,763.0,766.4
2019-07-12,766.1,768.6,751.0,755.8
2019-07-15,757.25,759.65,744.0,749.75
2019-07-16,750.0,763.2,747.55,761.05
2019-07-17,763.1,765.55,750.05,752.6
2019-07-18,754.0,755.0,734.6,740.4
2019-07-19,743.55,746.8,723.3,729.25
2019-07-22,730.0,738.5,720.0,727.45
2019-07-23,732.9,739.3,726.1,728.0
2019-07-24,728.0,732.8,709.35,712.3
2019-07-25,711.2,726.25,706.35,723.15
2019-07-26,723.55,732.0,719.2,729.85
2019-07-29,736.2,740.0,710.0,720.25
2019-07-30,725.95,728.0,701.0,707.6
2019-07-31,694.0,694.9,657.8,674.1
2019-08-01,673.95,680.75,662.65,669.3
2019-08-02,667.4,681.65,661.6,673.85
2019-08-05,665.5,669.35,650.2,662.45
2019-08-06,658.7,682.85,654.0,679.0
2019-08-07,679.0,679.5,654.25,659.95
2019-08-08,660.6,664.3,643.2,660.1
2019-08-09,664.2,675.95,660.0,660.8
2019-08-13,662.2,668.7,645.0,649.45
2019-08-14,652.8,669.45,652.0,663.2
2019-08-16,664.0,678.0,656.85,675.65
2019-08-19,678.8,689.0,676.35,685.0
2019-08-20,685.15,685.2,669.5,672.35
2019-08-21,674.0,674.15,659.65,664.7
2019-08-22,665.0,669.85,657.75,661.15
2019-08-23,659.75,671.55,645.25,663.9
2019-08-26,677.25,686.65,660.55,683.7
2019-08-27,697.0,697.55,680.5,682.95
2019-08-28,685.1,689.35,673.5,678.2
2019-08-29,674.0,676.75,658.9,661.15
2019-08-30,664.9,668.6,640.1,663.9
2019-09-03,658.8,658.8,641.45,645.7
2019-09-04,644.2,653.0,638.6,647.3
2019-09-05,652.0,659.75,644.05,649.6
2019-09-06,653.1,672.75,653.1,671.1
2019-09-09,667.65,675.8,662.75,671.55
2019-09-11,674.55,683.5,671.0,681.7
2019-09-12,680.1,681.65,660.55,662.9
2019-09-13,663.55,675.4,657.05,674.25
2019-09-16,666.6,674.4,664.95,670.9
2019-09-17,667.0,668.3,638.05,640.45
2019-09-18,645.5,654.5,641.55,648.4
2019-09-19,648.2,650.0,632.6,638.2
2019-09-20,641.05,689.45,622.65,680.35
2019-09-23,703.9,732.0,695.85,725.5
2019-09-24,728.25,733.25,702.25,704.4
2019-09-25,702.0,703.45,683.65,694.95
2019-09-26,686.6,719.65,686.55,699.9
2019-09-27,700.2,707.95,692.5,700.6
2019-09-30,704.05,712.4,682.1,685.0
2019-10-01,687.1,701.25,656.25,679.15
2019-10-03,675.0,675.9,646.7,668.4
2019-10-04,669.9,677.4,651.4,656.4
2019-10-07,660.95,681.9,651.7,673.45
2019-10-09,671.9,689.5,664.3,686.3
2019-10-10,680.0,684.3,665.35,672.95
2019-10-11,676.55,686.0,668.3,672.7
2019-10-14,677.8,693.95,673.35,683.5
2019-10-15,682.6,694.85,681.3,690.05
2019-10-16,693.4,695.4,683.55,693.4
2019-10-17,690.5,712.4,690.5,710.3
2019-10-18,709.85,715.7,705.25,709.55
2019-10-22,712.4,723.0,703.3,712.75
2019-10-23,718.0,730.0,710.05,714.85
2019-10-24,719.95,723.0,701.55,707.7
2019-10-25,708.0,711.0,695.0,708.6
2019-10-27,711.0,715.05,708.55,710.1
2019-10-29,706.5,742.9,704.25,738.45
2019-10-30,745.0,749.9,735.5,747.4
2019-10-31,748.0,750.0,732.05,736.35
2019-11-01,736.0,750.0,728.1,748.3
2019-11-04,754.95,754.95,735.55,742.6
2019-11-05,741.8,745.6,730.6,738.05
