Date,Open,High,Low,Close
2019-04-30,3045.0,3050.0,2942.9,2984.1
2019-05-02,2989.0,3040.0,2958.7,3030.55
2019-05-03,3028.0,3066.0,3020.0,3059.75
2019-05-06,3054.0,3054.0,3013.0,3026.2
2019-05-07,3026.0,3053.0,3021.3,3033.05
2019-05-08,3032.0,3033.0,2951.8,2957.75
2019-05-09,2950.0,2993.5,2932.3,2982.9
2019-05-10,2980.5,3008.0,2954.35,2966.2
2019-05-13,2970.35,2999.0,2947.25,2972.75
2019-05-14,2960.0,2969.0,2901.0,2937.2
2019-05-15,2937.25,2949.45,2901.35,2914.45
2019-05-16,2928.0,2958.45,2908.0,2942.65
2019-05-17,2950.0,3149.95,2935.15,3040.05
2019-05-20,3087.95,3087.95,2951.0,3006.3
2019-05-21,3014.0,3043.9,2969.05,2979.3
2019-05-22,2980.05,3054.0,2973.15,3047.2
2019-05-23,3075.0,3085.0,3028.7,3065.0
2019-05-24,3065.0,3098.9,3005.0,3077.9
2019-05-27,3085.1,3090.0,3031.0,3066.9
2019-05-28,3067.0,3108.35,2962.4,2988.0
2019-05-29,2990.0,2990.0,2920.0,2925.5
2019-05-30,2942.0,2980.0,2920.65,2945.0
2019-05-31,2953.0,2978.75,2915.3,2925.9
2019-06-03,2945.0,3077.95,2904.6,3034.6
2019-06-04,3026.2,3029.3,2970.4,2983.9
2019-06-06,3002.0,3027.9,2960.0,2991.65
2019-06-07,2999.95,3006.65,2953.45,2961.4
2019-06-10,2976.0,2999.0,2963.6,2989.8
2019-06-11,3003.8,3025.0,2981.0,2987.15
2019-06-12,2991.0,2997.05,2931.3,2944.5
2019-06-13,2951.0,2955.0,2901.25,2922.65
2019-06-14,2927.0,2935.0,2865.0,2872.55
2019-06-17,2865.05,2870.0,2827.8,2836.2
2019-06-18,2837.0,2882.05,2837.0,2855.6
2019-06-19,2870.0,2884.0,2803.0,2822.9
2019-06-20,2837.9,2906.9,2806.15,2897.3
2019-06-21,2894.9,2910.9,2844.1,2875.55
2019-06-24,2855.0,2877.1,2801.2,2816.9
2019-06-25,2814.0,2853.95,2786.0,2843.7
2019-06-26,2839.95,2881.35,2814.0,2868.7
2019-06-27,2867.25,2909.9,2851.0,2865.85
2019-06-28,2865.0,2869.0,2817.3,2827.05
2019-07-01,2838.4,2920.15,2836.2,2911.95
2019-07-02,2919.0,2927.95,2864.0,2883.55
2019-07-03,2900.0,2910.0,2872.0,2897.75
2019-07-04,2900.0,2909.0,2877.0,2894.8
2019-07-05,2898.0,2918.0,2826.95,2842.55
2019-07-08,2827.55,2827.55,2746.6,2777.8
2019-07-09,2774.0,2796.5,2755.0,2786.4
2019-07-10,2790.0,2793.95,2720.55,2740.4
2019-07-11,2720.0,2724.5,2660.25,2711.7
2019-07-12,2720.0,2751.9,2693.35,2722.55
2019-07-15,2728.0,2754.0,2705.7,2714.0
2019-07-16,2710.0,2745.0,2678.0,2732.45
2019-07-17,2725.0,2735.75,2691.35,2696.9
2019-07-18,2700.0,2711.85,2621.1,2630.8
2019-07-19,2640.0,2654.95,2550.0,2558.25
2019-07-22,2560.0,2609.95,2514.45,2562.9
2019-07-23,2569.0,2570.0,2515.2,2523.85
2019-07-24,2523.85,2543.0,2482.0,2522.6
2019-07-25,2526.45,2567.9,2513.0,2547.0
2019-07-26,2547.0,2679.95,2506.25,2618.65
2019-07-29,2590.0,2590.0,2451.0,2487.65
2019-07-30,2490.0,2515.0,2445.45,2463.85
2019-07-31,2463.0,2536.0,2442.2,2516.5
2019-08-01,2485.05,2552.6,2473.6,2537.65
2019-08-02,2517.1,2618.0,2478.15,2600.55
2019-08-05,2565.0,2642.65,2545.5,2619.75
2019-08-06,2600.0,2649.0,2592.9,2609.8
2019-08-07,2635.5,2635.5,2585.0,2605.1
2019-08-08,2612.0,2721.55,2602.05,2703.75
2019-08-09,2710.55,2741.5,2685.0,2707.6
2019-08-13,2699.95,2742.85,2642.6,2670.55
2019-08-14,2672.0,2757.0,2672.0,2713.9
2019-08-16,2712.05,2760.0,2661.35,2750.95
2019-08-19,2764.75,2773.0,2713.8,2725.5
2019-08-20,2730.0,2768.7,2718.55,2742.95
2019-08-21,2745.95,2771.5,2735.0,2764.8
2019-08-22,2762.0,2775.0,2731.3,2744.25
2019-08-23,2743.95,2765.0,2714.15,2749.15
2019-08-26,2794.7,2794.7,2686.0,2736.8
2019-08-27,2754.0,2798.4,2745.1,2766.5
2019-08-28,2760.0,2813.95,2750.55,2766.75
2019-08-29,2762.0,2786.75,2738.4,2757.8
2019-08-30,2766.1,2796.9,2726.15,2788.3
2019-09-03,2775.3,2805.1,2757.6,2764.2
2019-09-04,2774.4,2788.45,2725.0,2735.7
2019-09-05,2740.05,2775.45,2740.05,2759.2
2019-09-06,2772.9,2864.8,2745.5,2839.35
2019-09-09,2809.0,2838.55,2797.0,2817.8
2019-09-11,2838.9,2920.45,2812.0,2908.4
2019-09-12,2911.0,2911.4,2846.7,2852.2
2019-09-13,2860.0,2889.0,2855.0,2878.2
2019-09-16,2859.0,2887.7,2850.0,2874.45
2019-09-17,2874.8,2875.85,2762.55,2773.15
2019-09-18,2798.0,2819.0,2750.1,2777.05
