Date,Open,High,Low,Close
2019-04-30,324.0,326.8,314.05,320.3
2019-05-02,322.9,329.4,321.6,324.2
2019-05-03,324.45,333.85,324.45,331.45
2019-05-06,331.45,336.4,326.5,333.45
2019-05-07,340.0,340.85,321.45,324.95
2019-05-08,324.85,327.45,320.1,324.5
2019-05-09,321.25,326.2,312.6,315.45
2019-05-10,318.9,328.4,315.2,324.1
2019-05-13,321.5,327.35,314.65,318.65
2019-05-14,316.0,339.7,315.2,336.6
2019-05-15,336.0,338.0,328.7,331.25
2019-05-16,332.0,333.3,321.05,325.2
2019-05-17,323.7,330.7,322.15,328.45
2019-05-20,332.05,341.95,331.0,340.1
2019-05-21,340.0,340.1,328.55,330.65
2019-05-22,331.0,337.95,328.65,335.15
2019-05-23,337.55,349.0,334.2,338.8
2019-05-24,340.05,356.0,340.0,353.2
2019-05-27,349.7,351.9,346.35,349.5
2019-05-28,348.75,351.7,341.7,345.6
2019-05-29,343.8,345.15,337.85,338.8
2019-05-30,340.0,349.55,339.55,346.7
2019-05-31,349.0,352.4,344.45,348.8
2019-06-03,351.5,355.75,348.85,352.75
2019-06-04,351.0,355.95,349.75,352.4
2019-06-06,352.8,355.95,348.5,353.8
2019-06-07,353.8,361.95,351.8,357.1
2019-06-10,354.8,364.65,353.65,363.45
2019-06-11,363.0,366.95,358.25,363.25
2019-06-12,362.4,362.4,357.1,359.9
2019-06-13,357.05,364.95,357.05,363.75
2019-06-14,362.55,362.95,351.65,353.3
2019-06-17,355.6,355.6,342.1,344.0
2019-06-18,345.4,347.35,341.2,345.15
2019-06-19,346.5,348.0,334.3,341.1
2019-06-20,339.25,350.0,339.2,348.55
2019-06-21,347.5,349.9,342.7,343.8
2019-06-24,345.15,348.55,343.5,345.1
2019-06-25,345.45,352.0,344.55,348.6
2019-06-26,350.0,352.0,342.55,345.55
2019-06-27,347.25,350.85,340.9,348.65
2019-06-28,348.4,350.0,342.5,346.65
2019-07-01,347.0,349.85,345.15,348.5
2019-07-02,349.0,354.5,347.35,353.6
2019-07-03,352.9,356.5,349.75,353.2
2019-07-04,353.35,365.0,353.0,362.75
2019-07-05,362.75,371.15,360.5,364.8
2019-07-08,362.0,364.4,354.45,356.4
2019-07-09,356.0,363.25,354.1,362.3
2019-07-10,362.9,364.9,353.65,358.55
2019-07-11,358.25,362.4,356.3,360.75
2019-07-12,360.8,360.8,354.15,356.1
2019-07-15,357.6,359.4,349.15,350.6
2019-07-16,351.0,354.95,349.65,350.75
2019-07-17,350.55,353.4,344.8,346.25
2019-07-18,348.0,351.2,338.6,342.5
2019-07-19,343.5,346.0,336.1,339.95
2019-07-22,339.0,343.5,335.6,342.55
2019-07-23,342.95,348.5,337.4,343.6
2019-07-24,344.0,344.75,335.75,338.9
2019-07-25,335.0,343.45,334.55,339.0
2019-07-26,338.0,338.9,328.2,334.9
2019-07-29,334.7,336.45,328.1,334.55
2019-07-30,337.0,348.3,335.15,345.75
2019-07-31,343.2,353.75,332.7,337.6
2019-08-01,335.0,338.75,321.15,323.9
2019-08-02,332.0,354.95,327.2,343.55
2019-08-05,340.1,361.65,339.05,357.7
