Date,Open,High,Low,Close
2019-04-30,373.35,383.8,369.55,379.85
2019-05-02,380.1,382.9,376.0,378.45
2019-05-03,384.95,386.5,378.55,380.75
2019-05-06,380.5,392.0,380.1,390.35
2019-05-07,388.45,388.45,372.1,378.85
2019-05-08,378.05,383.4,373.1,379.8
2019-05-09,379.6,379.6,366.55,368.05
2019-05-10,367.05,367.5,359.8,362.95
2019-05-13,362.0,367.95,352.85,355.1
2019-05-14,354.1,360.8,348.0,358.6
2019-05-15,359.0,368.25,356.85,359.55
2019-05-16,356.0,378.85,351.5,375.55
2019-05-17,372.0,378.85,366.55,376.2
2019-05-20,390.0,396.65,383.5,391.8
2019-05-21,395.5,397.35,368.3,374.45
2019-05-22,378.0,388.9,376.0,384.25
2019-05-23,389.9,411.45,382.0,384.35
2019-05-24,395.0,398.9,386.8,395.45
2019-05-27,393.0,403.85,388.85,402.0
2019-05-28,402.0,409.35,397.1,401.95
2019-05-29,402.0,402.95,393.55,399.15
2019-05-30,401.0,409.7,400.05,407.65
2019-05-31,414.15,421.7,406.2,409.35
2019-06-03,417.5,419.9,411.15,417.1
2019-06-04,415.4,415.9,406.75,408.35
2019-06-06,414.0,414.2,395.5,397.05
2019-06-07,394.0,404.65,389.6,403.0
2019-06-10,399.25,401.75,386.3,389.65
2019-06-11,388.55,393.5,379.15,387.0
2019-06-12,388.0,390.5,379.45,381.0
2019-06-13,384.9,390.5,383.0,388.8
2019-06-14,386.25,390.6,384.15,386.5
2019-06-17,385.15,385.5,376.2,378.15
2019-06-18,378.95,386.9,376.3,385.55
2019-06-19,385.65,386.75,376.1,379.35
2019-06-20,378.1,386.45,377.0,385.2
2019-06-21,377.0,387.35,377.0,380.0
2019-06-24,379.0,382.65,373.1,380.85
2019-06-25,379.0,394.6,379.0,393.1
2019-06-26,387.5,393.6,386.1,391.4
2019-06-27,388.0,398.0,386.6,392.2
2019-06-28,390.65,396.6,390.5,392.45
2019-07-01,391.0,392.85,374.5,376.2
2019-07-02,379.55,382.0,376.75,378.5
2019-07-03,383.0,385.4,378.95,381.2
2019-07-04,384.0,384.0,378.45,380.0
2019-07-05,380.25,380.45,360.75,370.05
2019-07-08,366.85,367.6,356.15,360.85
2019-07-09,362.0,367.85,358.6,360.1
2019-07-10,360.15,363.4,346.0,349.6
2019-07-11,348.9,355.5,347.0,350.55
2019-07-12,352.75,354.8,345.0,345.75
2019-07-15,346.2,348.3,342.7,347.4
2019-07-16,349.0,356.3,348.6,354.45
2019-07-17,359.0,359.0,350.4,352.8
2019-07-18,354.0,355.35,347.85,349.25
2019-07-19,351.3,353.4,346.7,351.0
2019-07-22,349.4,354.9,340.2,353.5
2019-07-23,353.5,360.0,351.6,359.05
2019-07-24,358.1,358.2,344.7,349.1
2019-07-25,351.0,351.5,339.4,340.3
2019-07-26,339.4,345.5,335.0,343.8
2019-07-29,343.0,347.2,338.75,342.2
2019-07-30,343.5,343.5,334.35,335.5
2019-07-31,331.5,346.65,328.2,345.5
2019-08-01,345.0,346.15,339.2,343.65
2019-08-02,345.0,346.95,337.45,342.45
2019-08-05,340.0,345.4,331.55,339.0
2019-08-06,339.95,347.5,336.6,345.3
2019-08-07,346.95,346.95,329.25,331.1
2019-08-08,333.2,345.05,330.3,343.5
2019-08-09,343.5,350.9,341.0,346.45
2019-08-13,346.0,357.85,342.0,343.1
2019-08-14,341.0,356.8,341.0,354.45
2019-08-16,355.5,355.9,346.35,351.2
2019-08-19,352.0,354.1,346.0,347.0
2019-08-20,348.9,348.9,339.1,342.25
2019-08-21,335.75,339.45,326.35,327.8
2019-08-22,328.0,329.85,309.55,313.0
2019-08-23,312.1,330.8,308.35,329.35
2019-08-26,331.1,336.7,321.1,335.4
2019-08-27,337.0,346.0,334.25,342.3
2019-08-28,342.0,352.5,337.5,350.55
2019-08-29,350.8,357.4,346.5,354.05
2019-08-30,353.75,356.8,345.15,355.25
2019-09-03,355.0,363.2,342.3,356.2
2019-09-04,353.5,366.4,349.0,363.55
2019-09-05,363.0,385.0,361.05,380.8
2019-09-06,377.0,382.35,373.5,379.0
2019-09-09,376.0,384.0,374.65,382.0
2019-09-11,380.0,387.9,378.5,386.1
2019-09-12,387.05,394.35,381.65,384.2
2019-09-13,385.5,412.0,377.4,408.55
2019-09-16,388.0,391.45,378.5,380.0
2019-09-17,379.9,379.9,367.65,368.75
2019-09-18,379.7,388.75,369.05,382.1
2019-09-19,383.05,386.5,375.65,379.85
2019-09-20,377.55,455.8,372.45,403.85
2019-09-23,413.0,463.0,412.05,450.85
2019-09-24,454.0,474.75,442.0,461.3
