Date,Open,High,Low,Close
2019-04-30,2970.0,2974.9,2876.05,2896.05
2019-05-02,2927.0,2959.95,2772.0,2783.05
2019-05-03,2782.95,2803.85,2690.0,2696.15
2019-05-06,2699.0,2699.0,2654.45,2666.0
2019-05-07,2683.0,2720.5,2644.7,2650.55
2019-05-08,2656.6,2667.1,2615.85,2649.5
2019-05-09,2637.0,2689.8,2637.0,2672.4
2019-05-10,2680.0,2725.0,2673.0,2688.55
2019-05-13,2695.0,2707.6,2668.55,2676.55
2019-05-14,2675.9,2723.0,2658.05,2697.6
2019-05-15,2700.0,2709.95,2660.0,2687.75
2019-05-16,2699.8,2737.0,2677.8,2716.2
2019-05-17,2719.85,2785.1,2710.0,2779.25
2019-05-20,2839.0,2840.0,2781.0,2801.2
2019-05-21,2800.0,2867.4,2794.1,2848.7
2019-05-22,2861.0,2878.0,2817.5,2852.65
2019-05-23,2874.0,2890.0,2827.1,2838.7
2019-05-24,2845.0,2867.0,2808.2,2851.05
2019-05-27,2870.0,2905.0,2858.05,2896.55
2019-05-28,2910.0,2925.0,2880.0,2887.0
2019-05-29,2887.5,2930.0,2871.0,2917.0
2019-05-30,2921.0,2937.05,2874.6,2887.15
2019-05-31,2895.0,2970.0,2889.6,2921.95
2019-06-03,2936.0,3000.0,2935.9,2970.2
2019-06-04,2970.2,2985.0,2951.0,2963.1
2019-06-06,2965.3,2977.95,2881.8,2901.35
2019-06-07,2905.0,2919.3,2860.0,2899.3
2019-06-10,2909.7,3005.0,2909.7,2994.3
2019-06-11,3005.0,3010.0,2970.0,2980.3
2019-06-12,2979.95,3005.0,2960.95,2996.9
2019-06-13,2989.3,2994.6,2952.0,2984.55
2019-06-14,2972.0,2986.15,2954.45,2964.1
2019-06-17,2964.1,2977.9,2891.1,2899.2
2019-06-18,2905.0,2905.0,2860.0,2867.25
2019-06-19,2872.0,2904.5,2850.0,2875.7
2019-06-20,2850.0,2870.85,2796.55,2834.05
2019-06-21,2835.0,2874.45,2805.0,2826.7
2019-06-24,2830.0,2865.0,2771.05,2780.5
2019-06-25,2776.0,2818.35,2753.6,2807.7
2019-06-26,2805.0,2813.45,2700.0,2732.9
2019-06-27,2740.0,2764.6,2720.0,2725.9
2019-06-28,2735.0,2768.0,2732.0,2743.7
2019-07-01,2750.1,2771.0,2732.0,2737.55
2019-07-02,2741.05,2777.0,2734.3,2769.25
2019-07-03,2779.0,2819.0,2765.45,2794.7
2019-07-04,2790.0,2850.0,2789.0,2841.35
2019-07-05,2858.0,2862.9,2811.9,2824.85
2019-07-08,2829.9,2834.95,2771.05,2781.15
2019-07-09,2770.0,2778.4,2730.15,2762.65
2019-07-10,2762.0,2805.0,2742.9,2769.55
2019-07-11,2780.0,2790.9,2757.0,2765.15
2019-07-12,2763.0,2800.0,2750.75,2780.6
2019-07-15,2795.0,2795.0,2755.0,2773.6
2019-07-16,2770.0,2777.0,2737.6,2747.15
2019-07-17,2753.95,2809.95,2748.0,2797.8
2019-07-18,2800.0,2844.0,2787.55,2820.85
2019-07-19,2836.35,2836.65,2712.1,2749.15
2019-07-22,2755.0,2773.3,2718.0,2734.5
2019-07-23,2739.0,2749.95,2701.0,2730.2
2019-07-24,2729.0,2740.0,2620.05,2641.45
2019-07-25,2635.65,2685.0,2631.1,2671.55
2019-07-26,2665.0,2684.85,2616.55,2668.45
2019-07-29,2661.75,2689.3,2652.6,2672.3
2019-07-30,2675.0,2696.95,2592.5,2617.05
2019-07-31,2621.0,2632.0,2540.3,2605.0
2019-08-01,2590.0,2620.6,2575.05,2600.9
