Date,Open,High,Low,Close
2019-04-30,250.5,253.5,246.6,252.15
2019-05-02,251.6,254.9,250.45,252.35
2019-05-03,253.05,256.0,251.3,252.1
2019-05-06,250.1,253.2,248.05,251.35
2019-05-07,252.0,255.25,247.7,248.8
2019-05-08,249.6,252.1,248.55,249.1
2019-05-09,249.1,250.65,241.15,242.3
2019-05-10,242.0,244.95,240.0,241.25
2019-05-13,241.75,242.9,237.6,242.1
2019-05-14,241.0,243.0,238.8,241.8
2019-05-15,241.75,242.4,233.45,235.1
2019-05-16,235.15,236.7,229.55,232.15
2019-05-17,233.1,238.0,232.35,236.15
2019-05-20,241.9,242.9,235.8,237.7
2019-05-21,239.7,241.45,234.5,237.2
2019-05-22,237.65,242.0,237.1,241.25
2019-05-23,243.0,245.0,239.7,244.15
2019-05-24,244.75,245.95,241.4,244.9
2019-05-27,244.9,246.45,243.1,244.1
2019-05-28,244.9,251.8,244.45,250.7
2019-05-29,249.9,251.6,247.45,250.7
2019-05-30,251.95,255.25,249.1,252.95
2019-05-31,261.0,262.95,252.2,253.5
2019-06-03,255.0,261.9,253.2,260.9
2019-06-04,258.8,264.15,258.1,263.4
2019-06-06,263.9,271.45,263.65,269.15
2019-06-07,269.1,269.7,263.6,265.55
2019-06-10,267.0,268.0,257.7,259.3
2019-06-11,260.4,262.45,257.55,258.75
2019-06-12,258.7,258.9,255.4,257.0
2019-06-13,256.0,258.7,253.6,255.6
2019-06-14,255.35,256.9,253.45,255.15
2019-06-17,255.0,257.65,250.7,255.3
2019-06-18,255.45,260.9,255.25,260.35
2019-06-19,260.5,262.6,255.15,257.05
2019-06-20,256.0,261.0,256.0,260.35
2019-06-21,260.0,265.35,251.9,254.25
2019-06-24,255.9,258.25,253.35,256.75
2019-06-25,255.0,259.0,254.55,258.35
2019-06-26,257.9,263.25,257.15,260.3
2019-06-27,259.25,261.7,258.0,259.4
2019-06-28,259.45,260.8,253.0,253.8
2019-07-01,254.25,256.4,248.0,249.25
2019-07-02,248.3,253.0,247.1,252.7
2019-07-03,252.7,254.15,250.3,250.95
2019-07-04,251.35,252.85,249.45,251.1
2019-07-05,251.5,253.2,240.85,241.9
2019-07-08,241.4,241.45,230.45,232.4
2019-07-09,232.5,235.2,228.2,229.6
2019-07-10,231.4,234.5,230.05,233.35
2019-07-11,235.0,235.75,232.6,234.9
