Date,Open,High,Low,Close
2019-04-30,351.25,356.85,348.55,355.95
2019-05-02,353.1,354.85,346.25,347.55
2019-05-03,346.8,350.9,342.4,345.45
2019-05-06,341.95,351.15,341.15,346.25
2019-05-07,348.0,356.95,339.65,340.75
2019-05-08,341.0,345.15,336.4,337.5
2019-05-09,337.1,341.45,333.05,340.4
2019-05-10,341.0,343.8,338.2,341.55
2019-05-13,341.55,342.8,330.3,332.05
2019-05-14,332.0,355.3,330.75,345.15
2019-05-15,343.0,349.4,330.85,331.75
2019-05-16,333.85,334.4,326.7,329.2
2019-05-17,331.0,334.1,330.2,333.05
2019-05-20,340.0,349.3,338.9,345.6
2019-05-21,350.7,350.8,335.35,338.7
2019-05-22,338.7,341.75,334.2,336.9
2019-05-23,342.0,342.65,336.9,337.95
2019-05-24,338.0,342.6,335.15,341.65
2019-05-27,343.0,351.0,341.75,348.35
2019-05-28,353.9,354.7,345.5,348.75
2019-05-29,350.0,362.1,349.45,353.75
2019-05-30,355.85,360.5,353.35,359.25
2019-05-31,360.0,363.1,356.45,361.0
2019-06-03,362.9,365.4,356.6,357.45
2019-06-04,356.0,360.35,355.1,358.25
2019-06-06,335.0,338.65,314.25,316.3
2019-06-07,317.1,320.9,307.7,313.85
2019-06-10,319.0,320.0,306.45,307.25
2019-06-11,309.0,312.0,302.85,306.05
2019-06-12,307.5,312.5,306.05,310.1
2019-06-13,310.3,311.8,307.1,308.1
2019-06-14,308.5,311.55,307.55,308.5
2019-06-17,309.0,309.8,302.6,305.95
2019-06-18,306.7,308.85,304.1,308.05
2019-06-19,310.0,311.0,304.75,307.75
2019-06-20,307.5,311.9,305.5,311.15
2019-06-21,313.0,313.9,307.65,311.6
2019-06-24,311.95,312.5,305.75,306.7
2019-06-25,305.5,310.55,304.25,309.7
2019-06-26,311.0,311.4,307.0,309.25
2019-06-27,310.0,310.8,306.0,306.65
2019-06-28,307.8,313.25,306.35,311.95
2019-07-01,309.95,313.5,308.4,312.7
2019-07-02,312.95,314.75,310.0,311.35
2019-07-03,311.6,312.35,304.6,305.25
2019-07-04,306.4,309.3,304.25,307.8
2019-07-05,309.35,309.4,305.1,306.4
2019-07-08,305.45,305.5,297.4,302.1
2019-07-09,151.0,152.2,145.75,147.1
2019-07-10,148.3,149.2,144.3,144.95
2019-07-11,145.5,148.4,145.5,147.45
2019-07-12,148.35,150.8,145.75,146.65
2019-07-15,147.0,147.8,144.65,145.5
2019-07-16,145.5,148.0,144.8,147.35
2019-07-17,146.05,146.4,142.45,143.4
2019-07-18,144.0,144.2,141.0,141.95
2019-07-19,142.95,142.95,137.1,137.6
2019-07-22,136.7,138.75,134.85,138.0
2019-07-23,137.95,140.8,137.75,138.6
2019-07-24,139.1,139.1,135.2,136.65
2019-07-25,136.65,137.5,134.15,134.75
2019-07-26,134.2,135.7,132.4,132.95
2019-07-29,133.2,134.55,130.75,131.4
2019-07-30,131.6,132.65,128.5,129.15
2019-07-31,129.15,130.35,128.3,128.85
2019-08-01,128.85,131.1,125.7,128.6
2019-08-02,128.0,129.2,123.8,127.65
2019-08-05,126.1,126.25,122.5,122.95
2019-08-06,122.0,126.55,121.65,123.35
2019-08-07,124.4,124.4,120.6,121.7
2019-08-08,121.5,122.55,119.6,121.95
2019-08-09,122.2,125.4,120.6,123.85
2019-08-13,124.85,129.15,124.0,126.0
2019-08-14,126.7,130.3,126.25,126.75
2019-08-16,128.7,131.45,124.25,129.65
2019-08-19,130.45,130.9,126.6,127.3
2019-08-20,127.5,128.6,125.9,127.35
2019-08-21,127.9,128.45,122.05,122.5
2019-08-22,122.0,124.7,119.75,120.65
2019-08-23,120.7,126.15,119.5,124.4
2019-08-26,126.8,126.95,123.2,126.4
2019-08-27,128.0,131.45,126.55,130.2
2019-08-28,130.8,133.6,127.5,128.05
2019-08-29,127.15,129.4,126.5,128.5
2019-08-30,129.65,133.1,125.2,129.8
2019-09-03,128.55,130.45,126.05,126.8
2019-09-04,127.0,129.65,125.05,127.3
2019-09-05,126.1,132.25,126.0,130.95
2019-09-06,131.7,132.05,129.25,131.35
2019-09-09,131.65,132.7,130.2,132.15
2019-09-11,130.3,132.0,128.15,128.45
2019-09-12,129.35,129.7,125.4,125.75
2019-09-13,125.75,129.95,123.65,129.25
2019-09-16,130.4,132.65,128.6,129.7
2019-09-17,129.45,133.3,129.0,131.9
2019-09-18,133.1,135.75,131.65,134.95
2019-09-19,135.7,135.7,130.8,133.05
2019-09-20,132.5,136.95,130.8,134.7
2019-09-23,139.0,148.75,137.45,141.3
2019-09-24,141.3,142.6,136.3,139.25
2019-09-25,138.55,138.55,134.2,136.45
2019-09-26,137.1,138.2,135.6,137.1
2019-09-27,136.5,136.95,132.5,134.15
2019-09-30,134.8,135.25,132.4,134.5
2019-10-01,134.1,136.5,130.65,132.9
2019-10-03,133.0,133.7,130.85,131.7
2019-10-04,132.0,133.8,129.8,132.15
2019-10-07,132.0,132.7,129.0,130.2
2019-10-09,130.0,132.65,128.4,132.1
2019-10-10,131.4,132.1,126.4,127.35
2019-10-11,127.25,128.65,124.55,124.95
2019-10-14,125.5,127.75,123.55,125.85
2019-10-15,126.0,129.15,125.55,128.1
2019-10-16,128.0,128.0,126.0,126.8
2019-10-17,126.7,129.05,125.85,128.75
2019-10-18,128.5,130.4,127.8,129.55
2019-10-22,129.55,130.95,128.8,129.5
2019-10-23,129.9,129.9,128.1,128.65
2019-10-24,129.1,129.1,123.35,123.85
2019-10-25,123.8,124.8,122.35,123.05
2019-10-27,124.0,124.0,122.6,123.65
2019-10-29,123.65,127.55,123.0,125.85
2019-10-30,127.65,134.0,125.6,133.6
