Date,Open,High,Low,Close
2019-04-30,2285.0,2320.0,2278.4,2317.45
2019-05-02,2323.5,2359.65,2317.5,2355.8
2019-05-03,2364.2,2378.0,2356.5,2367.95
2019-05-06,2348.0,2351.9,2317.05,2328.45
2019-05-07,2351.9,2358.0,2318.0,2322.35
2019-05-08,2322.55,2323.8,2288.0,2307.25
2019-05-09,2300.0,2300.0,2271.6,2290.9
2019-05-10,2291.35,2324.9,2291.35,2296.5
2019-05-13,2296.05,2313.35,2280.0,2287.2
2019-05-14,2296.7,2311.0,2275.55,2287.9
2019-05-15,2296.0,2307.2,2282.2,2286.7
2019-05-16,2280.55,2319.0,2280.0,2310.65
2019-05-17,2313.0,2369.3,2311.6,2362.1
2019-05-20,2408.0,2438.7,2380.0,2432.35
2019-05-21,2438.0,2449.4,2399.45,2403.7
2019-05-22,2411.85,2426.0,2394.25,2405.75
2019-05-23,2409.0,2439.9,2319.1,2332.1
2019-05-24,2359.7,2386.15,2340.15,2373.35
2019-05-27,2378.9,2421.9,2372.25,2408.35
2019-05-28,2416.5,2420.0,2387.05,2416.2
2019-05-29,2410.2,2430.8,2410.2,2416.9
2019-05-30,2416.0,2447.9,2413.05,2439.55
2019-05-31,2456.8,2465.0,2356.8,2425.35
2019-06-03,2427.0,2459.8,2424.95,2457.1
2019-06-04,2455.0,2465.75,2441.05,2452.3
2019-06-06,2453.2,2470.0,2413.35,2423.35
2019-06-07,2425.65,2454.25,2409.0,2447.65
2019-06-10,2469.95,2469.95,2432.1,2440.2
2019-06-11,2451.5,2459.9,2440.35,2448.4
2019-06-12,2445.0,2448.4,2423.65,2427.05
2019-06-13,2435.95,2452.0,2415.95,2444.7
2019-06-14,2442.95,2458.95,2425.0,2435.1
2019-06-17,2435.0,2439.9,2417.3,2422.0
2019-06-18,2418.0,2432.0,2404.0,2417.25
2019-06-19,2427.0,2444.9,2416.7,2428.35
2019-06-20,2428.35,2437.0,2414.6,2426.35
2019-06-21,2426.0,2429.7,2405.65,2414.2
2019-06-24,2411.95,2430.6,2410.0,2417.95
2019-06-25,2419.85,2441.5,2403.0,2428.7
2019-06-26,2424.7,2470.0,2422.0,2467.9
2019-06-27,2468.75,2494.5,2456.15,2462.3
2019-06-28,2464.0,2475.0,2437.05,2443.75
2019-07-01,2456.0,2489.0,2450.05,2485.55
2019-07-02,2488.0,2497.5,2467.2,2495.0
2019-07-03,2499.0,2503.3,2483.0,2489.65
2019-07-04,2494.8,2497.9,2472.0,2483.8
2019-07-05,2485.1,2494.95,2460.0,2472.4
2019-07-08,2474.55,2474.6,2397.05,2409.6
2019-07-09,2403.85,2410.8,2373.0,2379.15
2019-07-10,2378.75,2398.0,2366.25,2388.75
2019-07-11,2403.0,2414.0,2395.65,2407.15
2019-07-12,2418.0,2418.0,2385.05,2393.9
2019-07-15,2396.0,2403.0,2377.35,2394.75
2019-07-16,2418.0,2418.0,2382.0,2391.2
2019-07-17,2392.95,2411.6,2391.3,2397.45
2019-07-18,2403.0,2429.0,2401.9,2411.9
2019-07-19,2415.0,2420.7,2367.0,2375.65
2019-07-22,2345.0,2349.85,2281.25,2297.25
2019-07-23,2294.5,2294.5,2242.05,2263.5
2019-07-24,2256.75,2293.0,2251.0,2280.9
2019-07-25,2285.0,2315.45,2280.25,2286.05
2019-07-26,2278.2,2293.65,2272.85,2277.3
2019-07-29,2273.55,2273.55,2223.05,2244.3
2019-07-30,2255.0,2271.2,2239.9,2252.25
2019-07-31,2240.0,2267.0,2234.25,2251.65
2019-08-01,2229.1,2240.0,2197.0,2221.8
2019-08-02,2211.0,2224.0,2182.0,2214.35
2019-08-05,2197.05,2200.0,2162.5,2179.25
2019-08-06,2167.0,2210.25,2167.0,2189.1
2019-08-07,2190.0,2202.0,2165.0,2184.0
2019-08-08,2198.0,2243.0,2183.0,2233.15
2019-08-09,2247.0,2289.0,2239.8,2282.0
2019-08-13,2273.3,2273.3,2202.6,2220.35
2019-08-14,2235.4,2235.4,2203.05,2229.45
2019-08-16,2214.0,2233.0,2204.1,2227.7
2019-08-19,2238.5,2242.0,2201.7,2206.85
2019-08-20,2209.25,2227.8,2206.85,2220.6
2019-08-21,2224.9,2241.2,2214.2,2225.85
2019-08-22,2220.85,2220.85,2167.05,2174.1
2019-08-23,2161.0,2177.0,2139.6,2162.7
2019-08-26,2194.9,2266.15,2167.0,2256.15
2019-08-27,2256.0,2272.9,2240.1,2259.95
2019-08-28,2250.0,2257.35,2226.35,2247.5
2019-08-29,2246.0,2253.7,2220.3,2226.95
2019-08-30,2233.5,2260.0,2222.0,2227.95
2019-09-03,2220.0,2221.0,2196.15,2210.95
2019-09-04,2207.0,2274.0,2199.0,2247.75
2019-09-05,2249.0,2272.4,2225.0,2235.15
2019-09-06,2228.0,2256.6,2221.3,2245.9
2019-09-09,2246.0,2260.9,2216.1,2249.6
2019-09-11,2274.0,2274.0,2241.15,2251.3
2019-09-12,2250.7,2288.8,2248.15,2270.85
2019-09-13,2251.0,2267.45,2238.0,2257.45
2019-09-16,2251.9,2262.65,2241.0,2244.15
2019-09-17,2247.9,2248.5,2198.1,2211.35
2019-09-18,2217.3,2224.15,2180.0,2187.75
2019-09-19,1099.9,1107.05,1084.0,1101.05
2019-09-20,1108.0,1209.9,1105.4,1199.6
2019-09-23,1259.55,1282.7,1229.0,1257.25
2019-09-24,1250.0,1261.95,1227.55,1253.8
2019-09-25,1249.9,1249.9,1230.1,1239.7
2019-09-26,1239.8,1275.0,1236.35,1242.5
2019-09-27,1248.25,1253.5,1237.6,1244.2
2019-09-30,1228.8,1240.0,1216.5,1227.45
2019-10-01,1231.5,1255.0,1221.1,1248.8
2019-10-03,1239.95,1243.8,1216.35,1223.55
2019-10-04,1236.65,1239.6,1185.3,1189.7
2019-10-07,1201.2,1219.85,1181.15,1186.9
2019-10-09,1197.1,1229.9,1190.0,1228.15
2019-10-10,1221.8,1225.95,1197.2,1200.55
2019-10-11,1213.4,1224.0,1188.95,1198.8
2019-10-14,1209.0,1219.9,1197.4,1204.4
2019-10-15,1207.0,1225.0,1206.85,1223.05
2019-10-16,1231.65,1235.0,1210.1,1221.1
2019-10-17,1227.5,1229.85,1213.1,1220.0
2019-10-18,1225.45,1233.85,1220.35,1229.0
2019-10-22,1257.0,1257.0,1232.6,1239.3
2019-10-23,1246.85,1249.75,1233.0,1241.6
2019-10-24,1248.0,1254.15,1226.35,1236.1
2019-10-25,1240.0,1246.85,1220.0,1229.0
2019-10-27,1239.95,1241.9,1235.0,1237.7
2019-10-29,1238.0,1257.35,1237.7,1242.5
2019-10-30,1246.9,1262.7,1243.0,1248.35
2019-10-31,1257.7,1263.9,1227.1,1230.35
2019-11-01,1239.0,1243.75,1227.6,1240.05
2019-11-04,1246.45,1250.0,1229.05,1236.85
2019-11-05,1241.0,1244.8,1229.05,1239.5
2019-11-06,1242.45,1259.0,1228.05,1256.65
2019-11-07,1261.0,1269.7,1250.0,1263.7
2019-11-08,1259.0,1267.0,1251.45,1255.6
2019-11-11,1252.55,1268.5,1250.5,1264.75
