Date,Open,High,Low,Close
2019-04-30,155.0,159.0,153.65,158.05
2019-05-02,159.0,160.3,156.2,158.1
2019-05-03,159.95,160.0,155.7,156.15
2019-05-06,157.5,158.4,155.15,156.7
2019-05-07,156.7,156.7,152.2,153.45
2019-05-08,154.0,155.2,151.7,152.2
2019-05-09,152.2,152.95,150.0,150.6
2019-05-10,149.9,150.25,147.05,147.6
2019-05-13,146.2,147.85,142.0,142.6
2019-05-14,142.6,144.85,141.5,143.6
2019-05-15,145.0,147.15,143.8,145.75
2019-05-16,144.3,152.3,143.0,151.15
2019-05-17,150.0,152.65,146.85,149.6
2019-05-20,155.0,158.85,151.1,157.65
2019-05-21,158.0,159.25,152.4,153.5
2019-05-22,155.0,156.75,152.25,155.45
2019-05-23,158.5,160.2,153.4,154.2
2019-05-24,159.0,159.85,154.3,156.8
2019-05-27,156.0,162.85,155.4,162.2
2019-05-28,162.0,164.0,160.1,163.45
2019-05-29,164.6,164.9,159.4,160.35
2019-05-30,160.5,163.4,159.4,161.95
2019-05-31,164.0,168.8,162.95,165.55
2019-06-03,167.8,170.75,167.05,169.7
2019-06-04,170.0,170.0,164.7,165.35
2019-06-06,167.3,168.75,161.75,163.55
2019-06-07,163.0,164.75,161.65,163.8
2019-06-10,163.4,163.5,159.15,160.65
2019-06-11,161.1,162.95,159.3,162.5
2019-06-12,163.0,163.4,161.1,162.55
2019-06-13,163.2,163.5,158.05,160.7
2019-06-14,160.1,161.55,158.7,159.8
2019-06-17,159.65,159.7,154.55,155.3
2019-06-18,154.8,158.0,153.9,157.65
2019-06-19,155.95,157.55,152.8,154.4
2019-06-20,154.4,157.25,154.4,156.75
2019-06-21,153.95,156.35,153.3,153.85
2019-06-24,153.1,154.0,150.8,152.05
2019-06-25,152.05,155.0,151.75,154.6
2019-06-26,153.1,155.65,152.55,154.95
2019-06-27,154.75,157.35,154.5,156.6
2019-06-28,157.3,158.0,155.55,155.9
2019-07-01,155.9,156.2,149.3,151.65
2019-07-02,152.55,154.95,151.5,154.7
2019-07-03,155.95,157.2,155.2,156.15
2019-07-04,155.5,157.1,155.3,156.55
2019-07-05,157.5,157.5,148.95,152.2
2019-07-08,150.9,151.35,143.45,144.05
2019-07-09,144.0,152.7,143.8,151.4
2019-07-10,150.5,151.85,144.6,148.15
2019-07-11,147.5,148.8,145.75,147.9
2019-07-12,147.0,147.9,144.2,146.85
2019-07-15,145.85,147.35,144.5,145.4
2019-07-16,146.0,148.0,145.45,147.05
2019-07-17,149.25,149.25,145.7,146.85
2019-07-18,146.85,148.85,145.2,147.6
2019-07-19,148.6,149.95,144.6,146.5
2019-07-22,145.0,151.3,144.95,147.95
2019-07-23,147.65,148.7,145.1,147.35
2019-07-24,146.8,148.75,145.0,147.95
2019-07-25,148.0,148.0,145.35,146.65
2019-07-26,146.25,146.35,141.1,141.8
2019-07-29,143.0,143.0,136.45,138.25
2019-07-30,139.0,139.0,133.05,133.5
2019-07-31,132.0,140.4,132.0,139.3
2019-08-01,137.95,141.9,135.1,136.95
2019-08-02,137.8,139.0,133.35,135.25
2019-08-05,134.0,134.7,131.25,132.25
2019-08-06,131.85,133.85,130.45,132.4
2019-08-07,133.5,133.5,128.5,129.0
2019-08-08,130.4,131.2,127.65,130.85
2019-08-09,130.6,131.3,129.05,130.5
2019-08-13,130.3,131.85,125.05,125.9
2019-08-14,125.9,128.4,124.2,126.45
2019-08-16,127.0,127.4,125.25,126.25
2019-08-19,126.35,127.4,125.3,125.8
2019-08-20,126.0,126.1,123.4,124.2
2019-08-21,123.9,124.2,120.4,121.05
2019-08-22,121.05,121.5,116.4,117.8
2019-08-23,117.0,124.15,116.25,122.8
2019-08-26,124.1,126.2,119.65,125.5
2019-08-27,126.45,128.0,125.0,125.75
2019-08-28,125.9,126.9,121.7,122.9
2019-08-29,123.2,128.2,121.55,123.65
2019-08-30,124.2,124.45,120.0,122.45
2019-09-03,117.75,119.35,116.25,117.25
2019-09-04,118.4,120.95,116.8,120.35
2019-09-05,120.6,129.2,120.6,124.7
2019-09-06,125.15,127.75,123.5,126.95
2019-09-09,127.05,127.75,125.55,126.65
2019-09-11,126.0,128.4,125.3,126.05
2019-09-12,126.7,129.0,124.0,124.4
2019-09-13,125.3,131.0,123.75,130.1
2019-09-16,126.0,129.55,124.65,128.55
2019-09-17,127.75,128.3,124.75,125.2
2019-09-18,127.6,128.6,125.3,128.15
2019-09-19,128.3,128.75,125.4,126.2
2019-09-20,125.95,136.55,123.5,132.55
2019-09-23,134.5,144.55,134.5,142.65
2019-09-24,142.5,142.5,136.85,138.7
2019-09-25,138.25,142.8,137.0,140.7
2019-09-26,141.95,149.45,141.4,144.55
2019-09-27,146.6,147.8,144.15,145.55
2019-09-30,146.45,148.0,143.0,147.4
2019-10-01,149.8,156.0,145.15,148.55
2019-10-03,150.9,153.95,149.55,151.75
2019-10-04,153.25,153.8,147.3,151.05
2019-10-07,149.9,150.95,146.8,148.7
2019-10-09,147.55,150.0,147.0,148.2
2019-10-10,148.2,149.65,146.6,148.2
2019-10-11,147.2,147.85,140.65,143.4
2019-10-14,144.0,147.4,144.0,144.75
2019-10-15,145.0,148.35,145.0,146.45
2019-10-16,147.25,149.0,145.0,145.55
2019-10-17,145.9,147.0,143.75,146.4
2019-10-18,146.1,148.2,144.75,145.6
2019-10-22,147.1,148.1,145.55,146.45
2019-10-23,145.45,147.55,144.1,144.5
2019-10-24,144.65,144.95,141.0,141.3
2019-10-25,142.5,144.4,140.05,142.1
2019-10-27,143.4,143.45,142.15,142.7
2019-10-29,143.25,146.25,143.2,144.35
2019-10-30,146.5,148.95,145.55,147.15
2019-10-31,148.0,148.75,143.65,146.8
2019-11-01,141.0,144.0,140.25,142.65
2019-11-04,142.65,142.7,138.1,138.7
2019-11-05,138.0,139.5,136.2,137.0
2019-11-06,137.35,138.15,135.3,135.6
2019-11-07,136.7,136.8,135.1,135.85
2019-11-08,135.95,135.95,133.7,134.05
2019-11-11,134.3,135.95,133.7,135.6
2019-11-13,135.6,135.6,133.15,133.85
2019-11-14,133.2,140.0,131.4,136.85
2019-11-15,136.85,136.9,131.2,131.7
2019-11-18,132.0,133.2,131.2,132.55
2019-11-19,132.4,133.6,131.75,133.0
2019-11-20,133.7,134.25,129.8,130.9
2019-11-21,131.4,131.8,128.4,128.9
2019-11-22,128.65,130.4,128.35,129.8
2019-11-25,129.8,131.7,129.15,130.85
2019-11-26,130.7,132.7,128.75,129.3
2019-11-27,129.35,131.65,129.05,131.1
2019-11-28,130.95,132.9,130.1,132.55
2019-11-29,133.0,133.7,130.7,131.4
2019-12-02,131.5,131.6,128.0,128.65
2019-12-03,128.95,129.5,127.65,128.5
2019-12-04,127.95,129.4,126.5,126.85
2019-12-05,126.45,128.95,125.8,125.95
2019-12-06,125.9,126.9,123.85,124.4
2019-12-09,124.4,126.35,124.4,125.5
2019-12-10,125.5,126.5,121.85,122.55
2019-12-11,123.05,126.1,122.65,125.55
2019-12-12,126.5,128.4,125.3,128.1
2019-12-13,128.65,129.7,127.6,128.25
2019-12-16,128.45,128.45,125.8,126.15
2019-12-17,125.6,126.75,124.85,125.65
2019-12-18,125.0,126.35,124.55,126.05
2019-12-19,126.4,127.7,125.3,127.4
2019-12-20,127.05,129.1,127.0,127.4
2019-12-23,127.45,129.0,126.05,126.45
2019-12-24,127.0,128.6,126.2,127.4
2019-12-26,127.0,127.5,124.6,125.1
2019-12-27,125.9,127.6,125.05,127.3
2019-12-30,127.3,127.6,126.15,126.6
2019-12-31,126.55,127.5,125.0,125.55
2020-01-01,125.95,126.75,125.75,125.95
2020-01-02,126.2,127.2,126.0,127.0
2020-01-03,126.5,127.5,126.15,126.85
2020-01-06,126.5,126.5,124.5,124.9
2020-01-07,125.3,127.45,124.1,124.55
2020-01-08,123.05,123.9,121.5,121.85
2020-01-09,124.9,125.5,122.85,124.5
2020-01-10,125.0,125.75,124.05,125.45
2020-01-13,125.9,127.6,125.3,126.95
2020-01-14,127.6,128.2,126.65,126.9
2020-01-15,126.95,127.0,125.0,125.7
2020-01-16,126.05,126.5,124.0,124.15
2020-01-17,124.15,124.25,122.3,122.65
2020-01-20,117.95,119.7,113.7,117.5
2020-01-21,118.0,118.45,114.25,114.8
2020-01-22,116.65,116.9,111.95,113.65
2020-01-23,115.1,120.9,115.05,118.35
2020-01-24,121.5,121.65,119.1,119.65
2020-01-27,119.25,120.2,117.0,117.45
2020-01-28,118.15,119.6,116.35,117.9
2020-01-29,118.8,119.95,117.8,118.3
2020-01-30,119.9,119.95,116.2,117.15
2020-01-31,118.55,118.55,112.6,113.45
2020-02-01,113.35,114.7,108.15,108.9
2020-02-03,110.05,112.4,107.55,108.05
2020-02-04,110.0,114.2,109.5,113.8
2020-02-05,114.85,115.85,113.9,114.7
2020-02-06,115.5,117.5,115.4,117.05
2020-02-07,116.7,117.75,115.0,117.5
2020-02-10,117.4,118.35,115.25,115.8
2020-02-11,116.0,117.4,115.7,116.05
2020-02-12,116.05,116.95,114.65,115.1
2020-02-13,114.95,115.75,114.25,114.75
2020-02-14,114.7,115.7,113.7,115.1
2020-02-17,115.0,115.3,111.25,111.8
2020-02-18,111.9,115.1,110.45,112.65
2020-02-19,113.8,114.5,112.65,114.2
2020-02-20,113.55,114.45,112.0,112.3
2020-02-24,112.8,113.1,110.15,110.55
2020-02-25,111.9,112.95,110.1,110.45
2020-02-26,110.2,111.3,108.0,108.35
2020-02-27,108.35,108.35,105.0,105.65
