Date,Open,High,Low,Close
2019-04-30,304.55,307.55,299.5,301.35
2019-05-02,301.1,306.5,300.6,305.0
2019-05-03,304.25,307.45,303.3,304.25
2019-05-06,304.0,307.5,300.75,307.0
2019-05-07,308.25,309.5,300.85,301.9
2019-05-08,300.0,303.4,298.65,300.65
2019-05-09,299.4,301.3,296.35,299.85
2019-05-10,300.0,300.45,296.9,297.75
2019-05-13,295.1,303.5,287.7,289.3
2019-05-14,291.0,298.25,288.85,294.35
2019-05-15,297.55,299.3,292.0,297.05
2019-05-16,297.0,297.0,293.25,294.75
2019-05-17,295.1,302.35,295.1,301.4
2019-05-20,306.85,307.55,302.1,307.0
2019-05-21,307.0,310.0,305.3,305.9
2019-05-22,302.15,302.8,296.8,299.75
2019-05-23,305.0,305.6,287.0,288.2
2019-05-24,291.5,291.65,287.3,290.45
2019-05-27,291.25,293.55,289.05,290.85
2019-05-28,291.8,292.0,288.1,288.9
2019-05-29,288.8,291.7,287.6,288.1
2019-05-30,289.0,291.05,288.3,288.65
2019-05-31,289.35,291.5,277.45,278.55
2019-06-03,281.4,281.5,275.3,278.55
2019-06-04,279.25,282.15,278.8,279.25
2019-06-06,280.4,280.4,275.3,275.75
2019-06-07,276.8,276.8,274.2,275.25
2019-06-10,278.3,280.55,276.9,279.4
2019-06-11,280.9,281.4,279.2,279.85
2019-06-12,281.4,281.4,278.25,279.95
2019-06-13,278.9,281.35,278.55,280.6
2019-06-14,280.5,280.5,277.15,278.05
2019-06-17,278.85,278.85,274.45,275.0
2019-06-18,276.15,277.85,274.0,275.1
2019-06-19,275.7,278.9,275.6,277.2
2019-06-20,277.0,277.95,275.35,277.0
2019-06-21,276.65,276.65,273.25,274.25
2019-06-24,274.25,277.5,274.25,276.25
2019-06-25,275.05,280.0,274.25,278.5
2019-06-26,278.45,278.7,276.35,277.4
2019-06-27,277.95,278.2,272.8,273.5
2019-06-28,274.1,275.45,272.5,273.85
2019-07-01,274.4,276.25,274.15,274.95
2019-07-02,275.35,275.65,273.2,273.85
2019-07-03,274.3,277.55,272.15,276.7
2019-07-04,277.45,278.25,275.2,277.65
2019-07-05,277.65,281.85,268.0,279.45
2019-07-08,280.15,282.9,275.8,277.45
2019-07-09,276.95,277.55,272.15,273.1
2019-07-10,273.55,275.25,270.75,273.15
2019-07-11,274.0,276.9,273.6,275.65
2019-07-12,275.4,276.45,273.1,275.05
2019-07-15,275.0,275.6,270.55,270.95
2019-07-16,271.0,272.75,270.6,271.95
2019-07-17,272.45,273.15,270.7,272.9
2019-07-18,272.95,275.1,272.3,273.0
2019-07-19,274.1,274.25,268.0,268.3
2019-07-22,268.0,268.2,264.0,264.4
2019-07-23,265.5,271.7,265.0,270.65
2019-07-24,270.3,273.35,267.9,270.85
2019-07-25,271.0,272.5,266.9,267.85
2019-07-26,268.75,271.0,266.9,270.4
2019-07-29,270.0,271.15,266.5,267.75
2019-07-30,268.0,270.1,266.55,268.9
2019-07-31,268.6,271.1,266.0,270.2
2019-08-01,270.45,270.7,266.5,267.55
2019-08-02,267.2,267.2,263.1,264.5
2019-08-05,264.4,264.5,257.65,259.8
2019-08-06,258.75,261.5,258.15,258.9
2019-08-07,259.05,259.35,253.1,253.65
2019-08-08,255.0,258.7,253.0,257.75
2019-08-09,258.85,258.85,253.5,254.2
2019-08-13,253.8,254.0,244.0,246.3
2019-08-14,246.3,253.6,244.05,248.75
2019-08-16,248.75,253.4,247.4,253.0
2019-08-19,253.5,257.3,250.95,251.55
2019-08-20,251.6,251.95,245.45,246.5
2019-08-21,246.7,246.9,240.85,241.45
2019-08-22,242.2,246.0,239.0,240.05
2019-08-23,239.0,239.45,234.65,236.1
2019-08-26,240.7,243.45,234.95,242.5
2019-08-27,243.95,246.3,242.7,245.5
2019-08-28,246.15,247.65,243.1,245.95
2019-08-29,243.95,245.45,240.15,241.2
2019-08-30,242.75,247.2,239.05,245.65
2019-09-03,244.45,244.45,240.65,241.55
2019-09-04,241.6,244.55,241.3,243.25
2019-09-05,242.0,246.9,242.0,244.25
2019-09-06,244.3,245.85,243.25,243.9
2019-09-09,244.65,246.5,243.2,245.5
2019-09-11,244.6,245.45,243.0,243.75
2019-09-12,244.3,245.0,240.0,240.75
2019-09-13,241.0,242.45,238.6,239.9
2019-09-16,239.5,240.85,238.3,239.4
2019-09-17,239.8,240.1,236.8,237.2
2019-09-18,237.7,242.3,234.05,239.25
2019-09-19,239.95,239.95,236.1,236.7
2019-09-20,237.0,248.5,234.3,238.05
2019-09-23,250.0,260.5,249.9,254.85
2019-09-24,255.0,258.0,253.8,256.0
2019-09-25,255.1,256.25,242.7,247.55
2019-09-26,247.3,251.4,246.25,250.4
2019-09-27,250.0,258.0,250.0,252.95
2019-09-30,254.75,260.8,249.4,259.85
2019-10-01,259.1,262.45,255.0,255.9
2019-10-03,257.7,262.15,256.05,261.65
2019-10-04,263.0,263.9,255.2,257.25
2019-10-07,257.5,258.0,250.7,251.9
2019-10-09,251.3,252.2,246.3,247.1
2019-10-10,247.0,247.65,242.65,243.2
2019-10-11,243.2,246.2,241.1,243.95
2019-10-14,245.45,246.4,243.0,244.1
2019-10-15,245.05,249.2,245.05,247.6
2019-10-16,247.4,247.6,242.15,243.65
