Date,Open,High,Low,Close
2019-04-30,294.5,309.9,290.85,308.35
2019-05-02,309.05,314.0,303.5,306.65
2019-05-03,308.0,310.45,305.1,308.85
2019-05-06,301.0,302.4,295.0,296.7
2019-05-07,301.0,302.2,287.0,288.1
2019-05-08,286.45,292.8,285.0,289.25
2019-05-09,288.0,290.5,280.35,285.45
2019-05-10,286.0,289.3,283.0,287.35
2019-05-13,286.0,286.9,273.45,276.9
2019-05-14,275.0,282.95,272.45,281.0
2019-05-15,281.0,281.7,266.95,268.5
2019-05-16,270.0,277.45,268.5,275.95
2019-05-17,275.45,277.7,271.55,276.4
2019-05-20,283.1,293.65,280.8,285.5
2019-05-21,284.85,286.5,277.5,279.4
2019-05-22,280.4,281.25,272.3,276.95
2019-05-23,284.0,289.9,274.5,275.95
2019-05-24,279.95,291.5,273.55,288.0
2019-05-27,281.0,289.3,277.05,287.75
2019-05-28,287.75,297.5,286.75,292.95
2019-05-29,292.0,295.7,279.7,280.55
2019-05-30,281.0,283.25,275.1,276.6
2019-05-31,278.25,279.8,269.6,271.7
2019-06-03,273.0,276.1,269.15,274.55
2019-06-04,274.0,276.0,272.4,274.2
2019-06-06,274.9,274.9,265.3,266.7
2019-06-07,267.0,270.0,261.6,262.4
2019-06-10,264.4,267.9,262.35,266.85
2019-06-11,268.0,274.5,265.3,273.35
2019-06-12,274.45,277.3,270.25,271.25
2019-06-13,272.0,275.0,265.65,274.35
2019-06-14,272.1,275.4,267.6,271.25
2019-06-17,271.0,271.0,259.0,260.2
2019-06-18,261.0,265.0,254.9,263.55
2019-06-19,264.0,267.65,256.0,260.55
2019-06-20,261.0,270.0,258.25,269.25
2019-06-21,265.95,268.95,264.25,267.15
2019-06-24,267.0,268.5,257.1,257.8
2019-06-25,254.4,268.3,252.65,267.05
2019-06-26,263.6,277.8,263.35,277.15
2019-06-27,276.95,280.8,275.55,277.35
2019-06-28,277.0,278.75,273.1,276.6
2019-07-01,278.55,281.8,273.85,275.75
2019-07-02,275.7,277.2,272.1,276.15
2019-07-03,276.0,279.8,273.75,277.4
2019-07-04,277.0,278.0,273.8,275.05
2019-07-05,275.75,278.7,265.05,266.65
2019-07-08,262.1,267.2,257.9,262.25
2019-07-09,262.0,265.5,260.5,262.35
2019-07-10,263.5,264.35,252.0,254.9
2019-07-11,259.3,268.1,257.85,267.3
2019-07-12,267.3,270.85,261.7,267.9
2019-07-15,267.4,272.75,263.7,270.95
2019-07-16,269.95,275.0,269.0,273.9
2019-07-17,272.0,275.0,268.8,271.9
2019-07-18,270.0,270.75,264.9,266.1
2019-07-19,267.3,269.2,258.2,259.05
2019-07-22,259.9,265.5,256.3,264.4
2019-07-23,266.0,266.0,259.8,263.3
2019-07-24,263.0,263.85,246.75,255.25
2019-07-25,254.8,257.9,247.8,248.65
2019-07-26,248.95,253.35,247.1,249.7
2019-07-29,245.85,246.25,236.85,241.4
2019-07-30,243.05,248.0,220.0,230.25
2019-07-31,228.35,238.3,226.1,237.45
2019-08-01,235.1,235.8,222.7,225.25
2019-08-02,223.0,230.45,217.8,225.15
2019-08-05,220.8,221.25,212.25,217.7
