Date,Open,High,Low,Close
2019-04-30,6700.0,6750.0,6630.0,6666.4
2019-05-02,6550.0,6709.95,6525.0,6683.25
2019-05-03,6675.0,6780.0,6675.0,6710.0
2019-05-06,6659.0,6732.0,6639.3,6709.65
2019-05-07,6744.9,6785.25,6680.0,6702.0
2019-05-08,6679.0,6693.0,6616.0,6650.15
2019-05-09,6637.0,6678.0,6600.0,6624.95
2019-05-10,6623.0,6664.9,6575.0,6631.6
2019-05-13,6626.0,6659.3,6500.0,6543.75
2019-05-14,6511.0,6612.0,6450.0,6576.2
2019-05-15,6590.0,6640.0,6463.3,6493.75
2019-05-16,6506.0,6527.3,6441.4,6479.65
2019-05-17,6497.0,6790.0,6485.0,6706.85
2019-05-20,6875.0,7150.0,6860.0,7084.6
2019-05-21,7105.0,7137.75,6818.0,6875.35
2019-05-22,6877.2,6930.55,6841.0,6899.8
2019-05-23,6996.0,7049.1,6830.0,6929.25
2019-05-24,6964.95,7120.0,6886.75,7093.15
2019-05-27,7095.0,7193.9,6900.05,7068.45
2019-05-28,7067.0,7130.0,7031.5,7054.65
2019-05-29,7001.0,7009.0,6870.0,6891.45
2019-05-30,6890.0,6921.0,6825.0,6867.7
2019-05-31,6891.0,6961.3,6825.0,6869.85
2019-06-03,6760.0,7055.0,6760.0,7022.9
2019-06-04,7000.0,7099.0,6971.75,7051.8
2019-06-06,7060.2,7099.0,6928.0,6988.7
2019-06-07,6990.0,6990.0,6862.65,6948.25
2019-06-10,6980.0,7043.3,6922.0,6969.95
2019-06-11,6989.95,7018.2,6930.0,6978.3
2019-06-12,6963.8,6967.95,6825.05,6852.0
2019-06-13,6843.0,6863.7,6766.3,6784.7
2019-06-14,6775.0,6839.0,6727.35,6747.4
2019-06-17,6749.4,6768.05,6560.5,6581.65
2019-06-18,6604.5,6649.0,6390.0,6439.0
2019-06-19,6485.0,6560.65,6380.0,6424.65
2019-06-20,6390.0,6649.0,6340.25,6616.75
2019-06-21,6549.0,6549.0,6370.2,6417.25
2019-06-24,6411.0,6497.1,6322.85,6459.9
2019-06-25,6459.0,6540.0,6427.35,6522.5
2019-06-26,6519.0,6557.8,6460.1,6480.3
2019-06-27,6496.2,6575.0,6475.0,6486.7
2019-06-28,6500.0,6550.0,6475.0,6534.65
2019-07-01,6600.0,6618.0,6490.0,6507.85
2019-07-02,6510.05,6588.8,6482.0,6560.0
2019-07-03,6582.0,6590.0,6515.05,6533.8
2019-07-04,6540.0,6588.0,6510.2,6544.45
2019-07-05,6547.2,6579.0,6300.0,6360.0
2019-07-08,6280.1,6283.15,5985.65,6038.7
2019-07-09,6060.0,6070.0,5910.0,5945.45
2019-07-10,5959.0,5995.0,5900.0,5927.9
2019-07-11,5974.0,6050.0,5930.0,6031.2
2019-07-12,6017.7,6090.0,5951.95,5971.45
2019-07-15,5980.0,6096.0,5955.0,6079.7
2019-07-16,6079.95,6172.0,6056.0,6158.05
2019-07-17,6168.0,6174.0,6050.0,6075.7
2019-07-18,6054.4,6055.7,5857.5,5882.35
2019-07-19,5885.0,5910.95,5710.1,5769.1
2019-07-22,5780.0,5940.0,5745.05,5912.5
2019-07-23,5910.0,5972.4,5820.2,5873.75
2019-07-24,5865.0,5865.0,5725.3,5768.0
2019-07-25,5789.1,5844.95,5701.05,5756.75
2019-07-26,5728.0,5955.0,5683.9,5805.65
2019-07-29,5770.0,5770.0,5540.0,5561.25
2019-07-30,5562.0,5644.85,5492.0,5507.15
2019-07-31,5525.8,5582.3,5446.05,5469.7
2019-08-01,5469.7,5615.0,5450.0,5572.6
2019-08-02,5539.6,5724.0,5485.0,5689.35
2019-08-05,5600.0,5695.0,5452.0,5670.35
2019-08-06,5640.0,5849.0,5640.0,5833.3
2019-08-07,5833.95,5867.0,5735.7,5775.0
2019-08-08,5725.0,5947.0,5725.0,5902.25
2019-08-09,5937.65,6155.0,5927.2,6099.9
2019-08-13,6099.7,6123.0,5791.55,5815.45
2019-08-14,5792.0,5933.4,5710.0,5816.0
2019-08-16,5805.0,5995.0,5590.0,5975.05
2019-08-19,5999.0,6024.4,5911.6,5982.55
2019-08-20,6003.0,6233.0,5959.05,6190.95
2019-08-21,6223.0,6276.0,6141.0,6228.9
2019-08-22,6200.0,6298.5,6168.0,6208.55
2019-08-23,6160.0,6279.6,6040.0,6254.35
2019-08-26,6460.0,6466.7,6116.15,6255.55
2019-08-27,6297.5,6340.0,6256.0,6277.75
2019-08-28,6248.0,6248.0,6070.0,6103.4
2019-08-29,6103.4,6198.0,6065.0,6110.2
2019-08-30,6144.0,6159.25,6052.9,6123.75
2019-09-03,6035.0,6130.0,6002.25,6049.7
2019-09-04,6062.0,6076.2,5800.0,5830.75
2019-09-05,5805.0,5998.0,5791.25,5968.65
2019-09-06,5997.7,6220.0,5962.1,6186.95
2019-09-09,6085.0,6366.95,6040.0,6335.5
2019-09-11,6330.0,6630.0,6285.1,6597.3
2019-09-12,6565.0,6640.0,6370.0,6392.05
2019-09-13,6434.0,6512.8,6340.0,6450.3
2019-09-16,6349.9,6489.0,6340.1,6412.75
2019-09-17,6410.0,6445.85,6110.0,6130.4
2019-09-18,6165.0,6211.8,5986.6,6095.05
2019-09-19,6139.0,6175.0,5942.4,5971.75
2019-09-20,6015.0,6949.8,5982.45,6591.95
2019-09-23,6676.1,7000.0,6676.1,6897.85
2019-09-24,6935.0,7177.9,6855.0,7009.1
2019-09-25,7000.0,7000.0,6602.0,6638.5
2019-09-26,6700.0,6899.9,6681.05,6857.45
2019-09-27,6860.0,6915.0,6735.0,6773.7
2019-09-30,6773.0,6809.6,6640.0,6715.8
2019-10-01,6720.0,6850.0,6650.0,6782.0
