Date,Open,High,Low,Close
2019-04-30,134.25,134.8,131.45,134.05
2019-05-02,133.3,133.9,132.1,133.1
2019-05-03,133.1,136.65,133.0,135.45
2019-05-06,135.0,135.6,133.7,135.0
2019-05-07,135.45,136.2,133.6,134.1
2019-05-08,133.85,134.0,130.2,130.8
2019-05-09,130.75,130.8,126.4,127.7
2019-05-10,128.45,128.75,126.25,127.0
2019-05-13,126.9,127.0,123.0,123.55
2019-05-14,123.7,126.5,122.4,125.6
2019-05-15,126.3,126.9,123.0,123.95
2019-05-16,124.85,126.35,123.25,125.75
2019-05-17,124.75,126.6,124.0,125.5
2019-05-20,128.2,130.1,125.6,129.25
2019-05-21,129.7,129.75,127.75,128.6
2019-05-22,128.6,130.45,127.4,129.6
2019-05-23,130.6,133.45,129.35,129.85
2019-05-24,130.5,131.0,128.55,129.15
2019-05-27,132.4,136.6,130.15,133.2
2019-05-28,133.95,134.75,131.7,132.6
2019-05-29,132.0,133.25,130.2,130.9
2019-05-30,131.05,135.6,131.05,135.1
2019-05-31,135.25,136.05,132.3,133.25
2019-06-03,134.4,134.8,132.7,133.1
2019-06-04,133.15,136.35,133.15,135.05
2019-06-06,135.15,137.0,132.8,136.55
2019-06-07,137.0,137.5,134.5,135.15
2019-06-10,135.2,137.1,134.35,135.0
2019-06-11,135.4,136.65,133.75,135.3
2019-06-12,135.0,135.7,133.3,134.4
2019-06-13,134.5,135.85,133.3,134.9
2019-06-14,134.95,135.5,132.4,132.75
2019-06-17,133.45,133.85,131.4,132.25
2019-06-18,132.6,133.35,131.9,132.4
2019-06-19,132.5,135.25,132.5,134.65
2019-06-20,134.6,135.25,133.6,134.55
2019-06-21,134.85,135.2,134.05,134.55
2019-06-24,134.7,136.0,133.75,135.6
2019-06-25,135.95,139.7,135.15,138.45
2019-06-26,139.5,141.9,139.3,140.05
2019-06-27,141.05,142.0,139.05,140.15
2019-06-28,140.1,141.85,139.5,141.35
2019-07-01,142.2,145.85,138.65,142.55
2019-07-02,143.0,144.4,142.55,142.95
2019-07-03,143.85,144.4,142.65,143.25
2019-07-04,144.45,144.45,142.35,143.45
2019-07-05,142.8,143.8,135.4,136.5
2019-07-08,136.6,136.6,128.55,129.6
2019-07-09,128.45,132.0,127.6,129.55
2019-07-10,129.0,131.0,128.65,129.05
2019-07-11,130.25,130.9,128.6,128.95
2019-07-12,129.85,132.45,126.45,127.8
2019-07-15,128.0,128.95,127.3,127.95
2019-07-16,128.8,131.4,128.0,130.95
2019-07-17,131.6,132.15,128.7,129.1
2019-07-18,130.1,130.95,126.4,127.05
2019-07-19,127.95,131.0,126.05,129.9
2019-07-22,130.5,132.65,127.65,130.85
2019-07-23,131.45,133.45,130.5,133.05
2019-07-24,133.55,133.55,130.7,131.85
2019-07-25,132.0,132.85,128.4,129.75
2019-07-26,130.4,130.4,128.25,128.8
2019-07-29,128.0,128.8,126.75,127.3
2019-07-30,126.65,128.65,126.1,127.2
2019-07-31,126.2,127.35,125.5,126.55
2019-08-01,126.4,127.75,125.15,126.85
2019-08-02,126.2,126.9,122.45,123.1
2019-08-05,122.4,123.45,120.45,121.0
2019-08-06,120.0,124.9,119.75,123.35
2019-08-07,123.0,124.95,122.1,123.05
2019-08-08,123.15,125.15,122.2,124.65
2019-08-09,124.6,126.65,123.15,123.9
2019-08-13,123.0,123.0,114.75,117.15
2019-08-14,117.25,119.0,116.55,117.6
2019-08-16,117.4,119.3,116.6,117.8
2019-08-19,118.35,120.45,117.6,118.9
2019-08-20,119.0,120.25,117.35,117.95
2019-08-21,118.0,119.6,117.45,117.9
2019-08-22,118.0,118.4,113.85,114.75
2019-08-23,115.0,118.95,114.1,118.5
2019-08-26,119.0,120.6,117.7,120.05
2019-08-27,120.15,125.4,120.15,123.2
2019-08-28,123.8,124.7,119.45,119.9
2019-08-29,118.75,124.15,117.9,123.1
2019-08-30,122.9,123.65,115.6,121.65
2019-09-03,121.95,121.95,117.15,117.65
2019-09-04,118.0,119.9,116.65,119.45
2019-09-05,119.85,129.65,119.85,123.45
2019-09-06,123.45,127.8,123.3,127.0
2019-09-09,127.3,127.95,125.2,126.35
2019-09-11,126.5,127.55,123.85,124.5
2019-09-12,124.0,124.75,121.6,122.25
2019-09-13,122.35,124.3,121.25,124.05
2019-09-16,123.35,124.15,121.85,123.25
2019-09-17,122.85,123.15,120.55,120.9
2019-09-18,121.55,122.85,119.65,122.5
2019-09-19,122.95,122.95,120.1,121.7
2019-09-20,121.05,125.4,118.5,119.85
2019-09-23,121.1,121.6,114.05,116.05
2019-09-24,116.3,116.8,114.35,115.15
2019-09-25,115.6,118.6,115.05,116.9
2019-09-26,117.25,118.7,115.95,116.55
2019-09-27,117.9,119.1,116.3,117.05
2019-09-30,117.1,118.2,115.75,117.5
2019-10-01,118.0,118.9,116.25,117.05
2019-10-03,117.55,117.55,114.6,116.75
2019-10-04,117.3,120.5,116.5,117.4
2019-10-07,117.45,117.95,114.7,115.95
2019-10-09,116.0,118.0,115.4,117.25
2019-10-10,117.2,117.5,116.35,117.25
2019-10-11,117.2,118.35,115.9,116.7
2019-10-14,116.55,118.15,116.2,117.75
2019-10-15,117.0,119.8,117.0,119.4
2019-10-16,118.8,119.8,116.9,117.4
2019-10-17,117.7,119.2,116.95,118.7
2019-10-18,118.8,121.5,118.4,121.05
2019-10-22,121.65,121.65,119.95,120.9
2019-10-23,120.25,121.7,120.25,121.05
2019-10-24,122.0,122.0,119.2,120.2
2019-10-25,120.85,120.85,118.2,118.5
2019-10-27,119.0,119.1,118.55,118.8
2019-10-29,118.7,120.35,117.6,119.9
2019-10-30,121.0,121.75,119.25,120.95
2019-10-31,121.5,124.2,120.8,122.4
2019-11-01,123.0,123.2,121.1,121.5
2019-11-04,121.65,122.6,119.9,120.55
2019-11-05,120.2,121.5,119.55,120.6
2019-11-06,120.1,121.75,119.95,120.65
2019-11-07,121.15,121.2,119.1,119.55
2019-11-08,119.1,119.35,117.0,117.4
2019-11-11,118.95,121.75,117.75,118.25
2019-11-13,117.9,119.25,117.55,118.3
2019-11-14,118.5,119.15,117.55,118.55
2019-11-15,118.55,118.85,116.95,117.35
2019-11-18,117.05,117.85,116.8,117.45
2019-11-19,117.75,118.3,116.8,117.35
2019-11-20,117.3,117.6,116.05,117.05
2019-11-21,117.4,117.4,114.8,115.3
2019-11-22,116.95,119.2,116.95,117.8
2019-11-25,118.0,118.4,117.1,118.1
2019-11-26,118.1,118.9,116.2,116.65
2019-11-27,116.8,117.3,115.45,115.75
2019-11-28,116.15,116.25,115.05,115.55
2019-11-29,116.0,117.6,115.5,116.35
2019-12-02,115.75,116.3,115.1,115.3
2019-12-03,115.1,115.8,114.4,114.55
2019-12-04,115.05,115.3,114.0,114.8
2019-12-05,114.75,115.25,113.85,114.1
2019-12-06,114.7,114.7,112.2,112.65
2019-12-09,113.2,113.2,111.5,112.7
2019-12-10,112.5,113.15,109.7,110.0
2019-12-11,110.5,113.8,110.1,113.0
2019-12-12,113.55,114.95,113.2,114.45
2019-12-13,115.05,116.15,114.5,115.65
2019-12-16,116.2,116.3,114.6,114.95
2019-12-17,114.95,115.95,113.6,115.55
2019-12-18,115.0,116.25,113.8,114.15
2019-12-19,114.0,114.4,112.85,114.05
2019-12-20,114.05,115.4,113.8,114.7
2019-12-23,114.2,115.4,113.8,114.6
2019-12-24,114.5,115.8,114.5,115.2
2019-12-26,115.15,118.3,114.0,116.4
2019-12-27,116.3,117.2,115.75,116.85
2019-12-30,116.85,117.65,116.35,116.55
2019-12-31,116.55,119.7,116.35,119.05
2020-01-01,119.05,122.0,118.25,121.55
2020-01-02,121.5,122.15,120.6,121.4
2020-01-03,121.0,121.35,119.1,119.35
2020-01-06,119.0,119.15,116.5,118.9
2020-01-07,119.25,121.55,119.25,120.55
2020-01-08,119.7,120.75,117.55,119.95
2020-01-09,120.5,121.2,118.9,119.35
2020-01-10,119.95,121.8,119.05,120.3
2020-01-13,120.4,122.0,120.1,121.75
2020-01-14,121.75,124.0,121.35,123.5
2020-01-15,123.0,125.0,122.35,123.85
2020-01-16,123.4,123.4,120.95,121.45
2020-01-17,121.45,121.7,120.6,121.2
2020-01-20,121.0,121.75,117.8,118.25
2020-01-21,118.4,119.55,116.95,117.15
2020-01-22,114.95,115.75,111.5,112.15
2020-01-23,112.6,114.45,112.3,113.5
2020-01-24,114.0,116.3,113.55,114.75
2020-01-27,115.0,115.3,112.6,113.15
2020-01-28,113.75,113.75,110.9,112.05
2020-01-29,112.1,114.9,111.75,113.2
2020-01-30,113.45,114.8,112.05,113.65
2020-01-31,113.75,115.25,111.5,112.85
2020-02-01,112.85,112.85,108.05,109.3
2020-02-03,109.45,111.65,107.2,110.25
2020-02-04,110.35,112.3,110.25,112.0
2020-02-05,111.3,112.6,110.5,111.2
2020-02-06,110.5,112.5,110.5,112.0
2020-02-07,112.4,116.25,112.3,115.6
2020-02-10,115.8,115.9,112.05,113.5
2020-02-11,114.5,117.55,114.1,116.85
2020-02-12,117.0,118.9,116.4,116.8
2020-02-13,116.8,117.1,114.7,115.15
2020-02-14,114.8,115.5,111.9,112.7
2020-02-17,113.1,113.75,109.2,110.3
2020-02-18,109.6,110.9,103.8,109.6
2020-02-19,112.3,113.75,110.4,112.05
2020-02-20,111.7,112.4,110.95,111.35
2020-02-24,110.75,110.75,108.85,109.7
2020-02-25,110.9,112.45,109.65,110.1
2020-02-26,110.0,111.55,108.25,109.1
2020-02-27,109.2,110.3,106.65,109.05
2020-02-28,106.65,110.2,105.35,106.55
2020-03-02,109.35,110.0,102.7,103.9
2020-03-03,104.65,109.95,104.3,108.9
2020-03-04,108.65,111.0,107.5,107.95
2020-03-05,108.1,109.65,107.05,107.85
2020-03-06,104.75,107.2,102.9,105.15
2020-03-09,104.0,104.4,99.55,102.9
2020-03-11,103.0,104.8,101.5,103.05
2020-03-12,99.0,100.0,93.25,94.35
2020-03-13,90.0,100.75,81.25,98.05
2020-03-16,96.0,96.0,88.25,90.8
2020-03-17,91.0,95.9,86.35,88.1
2020-03-18,89.0,90.35,74.9,80.55
2020-03-19,78.55,84.95,75.05,78.35
2020-03-20,78.5,82.35,76.35,81.25
2020-03-23,74.9,80.0,73.2,76.4
