Date,Open,High,Low,Close
2019-04-30,825.95,838.0,823.1,836.1
2019-05-02,834.9,846.5,829.1,837.0
2019-05-03,830.0,834.45,813.0,817.4
2019-05-06,810.0,825.5,810.0,820.15
2019-05-07,822.0,824.3,809.7,814.65
2019-05-08,813.0,814.1,799.6,802.3
2019-05-09,801.0,814.75,799.2,809.65
2019-05-10,810.4,813.4,800.4,808.4
2019-05-13,811.6,825.7,809.2,817.3
2019-05-14,818.8,818.8,786.6,790.05
2019-05-15,791.0,798.4,785.55,790.3
2019-05-16,788.65,794.75,781.35,789.35
2019-05-17,793.0,793.0,776.55,784.85
2019-05-20,790.0,790.0,763.0,779.35
2019-05-21,780.0,784.8,768.1,773.05
2019-05-22,758.0,767.35,744.2,749.95
2019-05-23,760.0,761.35,740.55,743.3
2019-05-24,749.9,749.9,732.05,735.85
2019-05-27,737.0,738.0,719.5,726.05
2019-05-28,727.0,746.75,727.0,737.15
2019-05-29,736.95,748.25,733.65,738.85
2019-05-30,741.5,746.0,732.95,735.0
2019-05-31,740.0,763.8,738.15,760.35
2019-06-03,763.9,763.9,749.0,757.6
2019-06-04,756.3,762.7,746.8,748.3
2019-06-06,748.3,749.3,733.9,738.0
2019-06-07,738.1,752.7,729.4,750.75
2019-06-10,755.45,769.35,754.05,768.2
2019-06-11,770.0,770.75,759.25,762.1
2019-06-12,762.0,764.3,743.3,747.95
2019-06-13,744.0,752.7,738.5,744.1
2019-06-14,744.0,746.65,735.3,740.25
2019-06-17,740.0,743.15,734.05,736.55
2019-06-18,737.9,744.4,736.05,741.55
2019-06-19,742.0,744.3,729.55,735.6
2019-06-20,722.0,731.0,717.85,725.55
2019-06-21,729.0,744.0,726.5,740.45
2019-06-24,738.0,738.0,727.0,728.25
2019-06-25,727.0,728.15,720.0,724.35
2019-06-26,721.3,730.85,716.4,718.1
2019-06-27,715.5,719.0,691.65,701.95
2019-06-28,706.9,715.0,704.1,706.6
2019-07-01,709.7,711.2,702.35,704.65
2019-07-02,702.05,713.0,700.25,711.65
2019-07-03,713.0,713.45,698.5,701.1
2019-07-04,701.4,706.75,697.0,700.6
2019-07-05,700.5,703.0,678.3,681.1
2019-07-08,680.0,685.75,665.5,680.35
